hole_id,board_id,native_x_mm,native_step_y_mm,panel_x_mm,panel_y_mm,native_hole_diameter_mm,panel_clearance_diameter_mm,fastener,state,warning
MCU-H1,MCU,3.500,-3.500,-129.500,-24.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
MCU-H2,MCU,2.000,-39.500,-131.000,-60.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
MCU-H3,MCU,80.000,-39.500,-53.000,-60.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
MCU-H4,MCU,78.500,-3.500,-54.500,-24.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_A-H1,CARRIER_A,3.500,-3.500,6.500,-30.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_A-H2,CARRIER_A,3.500,-38.500,6.500,-65.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_A-H3,CARRIER_A,78.500,-38.500,81.500,-65.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_A-H4,CARRIER_A,78.500,-3.500,81.500,-30.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_B-H1,CARRIER_B,3.500,-3.500,6.500,65.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
CARRIER_B-H2,CARRIER_B,3.500,-38.500,6.500,30.500,2.700,3.000,M2.5 CANDIDATE - LENGTH/MATERIAL/TORQUE SELECTION REQUIRED,CAD AXIS DEFINED; FIT UNVALIDATED,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
