input_id,topic,current_controlled_statement,state,remaining_evidence,release_effect,warning
FAB-IN-001,payload,soft foam object; measured mass including uncertainty <=100 g; each principal dimension 40..70 mm,CONTROLLED DRAFT - INDEPENDENT ACCEPTANCE REQUIRED,Exact object/material/lot and retained calibrated measurement,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-002,duty cycle,one object per accepted cycle; exactly 100 guarded verification cycles,PARTIAL,"Cycle time, moves/hour, dwell/rest, lifetime and representative thermal/fatigue spectrum",BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-003,speed and acceleration,TCP <=0.15 m/s; automatic joints <=30 deg/s; setup joints <=10 deg/s hold-to-run,PARTIAL,"Pose-dependent rates, acceleration/deceleration, jerk, emergency trajectory, measured stopping and uncertainty",BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-004,restraint and fall,fixed bench-mounted architecture only,OPEN,"Base/restraint geometry, anchors, push/pull/tip, dropped-arm and proof cases",BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-005,safety factors,no accepted configuration-specific factors,SELECTION REQUIRED,Qualified yield/slip/pullout/prying/fatigue/fastener/proof/impact allocation,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-006,C05 T-slot joint,catalog compatibility only,OPEN,Reviewed calculation and physical slip/pullout/prying proof,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-007,C06/C07 stop,P0.8 geometry controlled; bumper/load/life and physical validation open,OPEN,"Accepted bumper, force-stroke/energy, load/contact analysis and retained proof",BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-008,material traceability,6061-T651 required; provider not selected,OPEN,Written stock/MTR/heat-lot/substitution acceptance and receiving evidence,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-009,inspection data,26 controls and 30 blank FAI operations controlled by R215,OPEN,"Provider acceptance, calibrated methods, CMM/surface map, executed results and qualified disposition",BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-IN-010,work authorization,"no provider contact, upload, quote or fabrication authority",NOT AUTHORIZED,Separate signed capability-only inquiry and later first-article authorization,BLOCKS FABRICATION RELEASE UNTIL ACCEPTED OR FORMALLY DISPOSITIONED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
