trial_id,new_screw_id,new_washer_id,new_nut_id,representative_c07_coupon_id,received_s102_id,condition,run_on_prevailing_torque_nm,target_total_torque_nm,measured_peak_torque_nm,measured_clamp_force_n,relaxation_10min_n,breakaway_after_hold_nm,thread_or_surface_damage,result,raw_data_uri,witness,warning
A04-TT-01,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-02,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-03,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-04,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-05,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-06,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-07,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-08,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-09,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-10,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-11,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
A04-TT-12,,,,,,dry-as-received candidate; any change starts a new series,,,,,,,,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
