item,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm,geometry_status,warning
HAMMOND_RZ0269C_BASE_ENVELOPE,-111.0,111.0,-73.0,73.0,-0.0,45.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CLEAR_LID_FRAME,-111.0,111.0,-73.0,73.0,45.0,55.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CLEAR_LID,-106.0,106.0,-68.0,68.0,54.0,57.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PCB_186X106,-105.0,105.0,-67.0,67.0,12.0,13.6,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
EIGHT_FLOATING_CHANNELS,-90.0,60.0,-63.0,39.0,13.6,17.6,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
BATTERY_SYNC_SLATE_ISLAND,55.0,93.0,-60.0,60.0,13.6,17.6,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SYNC_LED,69.998,76.002,-27.002,-20.998,15.998,28.002,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SYNC_BUTTON,68.0,78.0,-5.0,5.0,14.0,26.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
KEYSTONE_2464_3AA_ENVELOPE,-29.0,29.0,-25.0,25.0,29.0,47.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_INPUT_HEADER,-103.0,-93.0,-51.5,-42.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_INPUT_HEADER,-103.0,-93.0,-38.0,-29.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_INPUT_HEADER,-103.0,-93.0,-24.5,-15.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_INPUT_HEADER,-103.0,-93.0,-11.0,-2.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_INPUT_HEADER,-103.0,-93.0,2.5,11.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_INPUT_HEADER,-103.0,-93.0,16.0,25.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_INPUT_HEADER,-103.0,-93.0,29.5,38.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_INPUT_HEADER,-103.0,-93.0,43.0,52.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH1_OUTPUT_HEADER,93.0,103.0,-51.5,-42.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_OUTPUT_HEADER,93.0,103.0,-38.0,-29.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_OUTPUT_HEADER,93.0,103.0,-24.5,-15.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_OUTPUT_HEADER,93.0,103.0,-11.0,-2.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_OUTPUT_HEADER,93.0,103.0,2.5,11.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_OUTPUT_HEADER,93.0,103.0,16.0,25.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_OUTPUT_HEADER,93.0,103.0,29.5,38.5,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_OUTPUT_HEADER,93.0,103.0,43.0,52.0,15.0,29.0,PROJECT INTERFACE ENVELOPE; RECEIVED PART CONTROLS,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
