item_id,module,harness_assembly,role,candidate,declared_connector_boundary,operating_power_w,dynamic_link,physical_connector_and_contacts,power_net_and_protection,data_net_and_interface,route_and_retention,completeness_state
EQ-T01-PI5,T01,HN-C01,main compute,Raspberry Pi 5 8GB SC1112 candidate,"5.1 V, Ethernet, USB, two CSI/DSI FFCs; exact locking/strain relief open",18.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-PI5-COOLER,T01,HN-C01,compute cooling,Raspberry Pi Active Cooler SC1148 candidate,Pi fan header; tach/failure telemetry required,2.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-MOTION,C01,HN-C01,deterministic motion controller,custom STM32H743ZIT6 LQFP144 motion-controller carrier candidate,JMCU_A/JMCU_B each JST BM15B-GHS-TBT; eight sourced UART pin groups; watchdog/permit and remaining board pins open,4.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-WATCHDOG,S01,HN-S01,independent watchdog,Raspberry Pi Pico-class non-safety-rated diagnostic watchdog candidate,isolated heartbeat input and dry permit interface; exact circuit open,0.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BUS-CARRIER-A,C01,HN-C01,four-channel actuator-bus interface carrier,four-channel carrier with 4x TI ISOW1432DFMR and 4x JST B03B-PASK-1 data-only field headers; buses RS-LLEG | RS-RLEG | RS-LARM | RS-RARM,JST GHR-15V-S logic-only controller cable plus per-segment B02B/B03B-PASK-1 field headers with PAP housings; no actuator VDD contacts,3.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BUS-CARRIER-B,C01,HN-C01,four-channel actuator-bus interface carrier,"four-channel carrier with 1x TI ISOW1432DFMR, 3x SN74LVC1T45DCKR and exact JST PA data-only field headers; buses RS-WAIST | TTL-LDIST | TTL-RDIST | TTL-HEAD",JST GHR-15V-S logic-only controller cable plus per-segment B02B/B03B-PASK-1 field headers with PAP housings; no actuator VDD contacts,1.500,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-TETHER-INLET,P01,HN-P01,tether inlet and service disconnect,"Anderson SBS75GBLK three-position inlet candidate; project contacts P1=controlled +12 V, G=pre-mate frame reference, P2=return","1339G2 primary contacts and 1340G1 pre-mate contact are 6 AWG family candidates; exact cable, polarity marking, frame bond, retention and flex validation open",0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-EIGHT-BRANCH-DISTRIBUTOR,P01,HN-P01,main plus eight electrically separate actuator-bus feeds,146 x 34 x 66 mm insulated distributor candidate with nine Littelfuse 04980923ZXT covered MIDI holders; all fuse values SELECTION REQUIRED,"one inlet, one main holder and exact separate feeds to RS-LLEG/RS-RLEG/RS-LARM/RS-RARM/RS-WAIST/TTL-LDIST/TTL-RDIST/TTL-HEAD boards; fuse values, conductors, lugs and torque open",0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-RS-LLEG,L01,HN-L01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-LLEG instance; six left-leg axes,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,L_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-WPS-RS-RLEG,L02,HN-L02,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-RLEG instance; six right-leg axes,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",0.100,R_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
