family_id,part_name,part_kind,solid_count,volume_mm3,candidate_non_actuator_mass_kg,material_or_product_candidate,note,authority,warning
JMF-01-COMPACT,OUTPUT_SHAFT,hollow output shaft,1,731.038557,0.005702101,17-4PH or alloy-steel candidate - SELECTION REQUIRED,"shoulders, surface finish, hardness and received runout open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,BEARING_B,catalogue bearing candidate,1,722.723390,0.005673379,696 OPEN EVALUATION CANDIDATE,"application, suffix, fit, lubrication, life and preload open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,CARRIER_B,removable joint carrier,1,2548.605536,0.006881235,6061-T6 plate candidate,"machining process, tolerances, inserts and capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,RETAINER_B,axial bearing retainer,1,57.432241,0.000450843,spring-steel ring or threaded collar candidate,groove/thread geometry and axial capacity open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,CARRIER_B_SCREW_11,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,CARRIER_B_SCREW_12,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,CARRIER_B_SCREW_21,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,CARRIER_B_SCREW_22,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,OUTPUT_ENCODER_CARRIER,output encoder carrier,1,832.679133,0.001498822,magnetic absolute encoder carrier candidate,"sensor, magnet, PCB, accuracy, redundancy and safety role SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,OUTPUT_MAGNET_HUB,encoder magnet hub,1,129.684945,0.000350149,nonmagnetic hub plus magnet candidate,"magnet grade, adhesive, retention and air gap open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
