sequence,part_id,placed_x_mm,placed_y_mm,plate_rotation_z_deg,placed_width_mm,placed_depth_mm,placed_height_mm,scale,printed,warning
1,FFA_GUIDE_FRONT,5.000,5.000,0,84.002,4.001,4.001,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,FFA_GUIDE_REAR,94.002,5.000,0,84.002,4.001,4.001,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,FFA_FRAME_FRONT,5.000,14.001,0,80.004,42.004,3.008,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,FFA_FRAME_REAR,90.004,14.001,0,80.004,42.004,3.008,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,FFA_TOP_BRIDGE,5.000,61.006,0,76.005,50.005,4.005,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,FFA_BOTTOM_BRIDGE,86.005,61.006,0,76.005,50.005,4.005,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,FFA_FINGER_RACK_POSITIVE,167.010,61.006,0,39.004,57.755,36.010,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,FFA_FINGER_RACK_NEGATIVE,5.000,123.761,0,39.004,52.008,36.010,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,FFA_END_POSITIVE,49.004,123.761,0,5.004,50.004,24.004,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,FFA_END_NEGATIVE,59.008,123.761,0,5.004,50.004,24.004,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,FFA_MANUAL_PINION,69.012,123.761,0,16.005,16.004,70.005,1:1 MILLIMETRES - DO NOT SCALE,NO,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
