gate_id,required_before_stage,traveler_boundary,current_status,required_evidence,evidence_location,traveler_effect,warning
EG-001,E0,BT-P00,partial,Signed site-input record and applicable-code review,docs/hr-v0-build-site-basis.md; docs/hr-v0-boston-site-jurisdiction-p0.2.md; configuration/hr-v0-boston-site-p0.2/; release/hr-v0/boston-site-p0.2/; requirements/hr-v0-gate-evidence-supplement-r194.csv; tools/check_hr_v0_boston_site_p02.py; docs/hr-v0-actuator-ac-cord-p0.1.md; electrical/ac-input/hr-v0-actuator-ac-cord-p0.1/; tests/forms/hr-v0-actuator-ac-cord-site-fit-template-p0.1.csv; tools/check_hr_v0_actuator_ac_cord_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-002,E0,BT-P00,partial,Merged commit release manifest hashes and clean-clone audit,docs/configuration-management.md; docs/hr-v0-release-candidate-p0.1.md; release/hr-v0/release-candidate.json; release/hr-v0/HR-V0-RC-P0.1-file-manifest.csv; tools/generate_hr_v0_release_manifest.py; tools/check_hr_v0_release_manifest.py; docs/hr-v0-configuration-reconciliation-p0.1.md; configuration/hr-v0-config-reconciliation-p0.1/; release/hr-v0/configuration-reconciliation-p0.1/; tools/check_hr_v0_configuration_reconciliation_p01.py; software/images/hr-v0-rpi-os-lite-sbom-p0.1/; docs/hr-v0-rpi-os-sbom-p0.1.md; requirements/hr-v0-gate-evidence-supplement-r172.csv; tools/check_hr_v0_rpi_os_sbom_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-003,E0,BT-P00,partial,Released hierarchical BOM plus manufacturer-document register receiving evidence and signed configuration review,bom/bom.csv; bom/hr-v0-bom-closure.csv; bom/hr-v0-evaluation-batch-a.csv; bom/hr-v0-unpowered-mechanical-evaluation.csv; bom/hr-v0-compute-selection-p0.1.csv; bom/hr-v0-compute-subassembly-p0.1.csv; bom/hr-v0-frame-kit-contents.csv; bom/hr-v0-gripper-kit-contents.csv; bom/hr-v0-frame-joint-schedule.csv; cad/hr-v0/frame-joint-placement-p0.2.csv; docs/hr-v0-bom-closure-p0.1.md; docs/hr-v0-evaluation-batch-a-acquisition-p0.1.md; docs/hr-v0-evaluation-batch-a-receiving-p0.1.md; procurement/hr-v0/evaluation-batch-a-acquisition-p0.1/; tests/receiving/hr-v0-evaluation-batch-a-receiving-p0.1/; tests/forms/hr-v0-evaluation-batch-a-unit-receiving-template-p0.1.csv; tools/generate_hr_v0_evaluation_batch_a_acquisition.py; tools/check_hr_v0_evaluation_batch_a_acquisition.py; tools/generate_hr_v0_evaluation_batch_a_receiving.py; tools/check_hr_v0_evaluation_batch_a_receiving.py; docs/hr-v0-compute-selection-p0.1.md; docs/hr-v0-compute-subassembly-p0.1.md; docs/hr-v0-control-panel-p0.6.md; docs/hr-v0-unpowered-mechanical-evaluation-p0.1.md; docs/hr-v0-frame-joint-closure-p0.2.md; electrical/panel/hr-v0-control-panel-p0.6/; tests/forms/hr-v0-evaluation-batch-a-receiving-template.csv; tests/forms/hr-v0-compute-receiving-template-p0.1.csv; tests/forms/hr-v0-compute-subassembly-receiving-template-p0.1.csv; tests/forms/hr-v0-compute-installation-receiving-template-p0.1.csv; tools/generate_hr_v0_bom_closure.py; tools/check_hr_v0_bom.py; tools/check_hr_v0_compute_selection_p01.py; tools/check_hr_v0_compute_subassembly_p01.py; tools/check_hr_v0_compute_installation_p01.py; tools/check_hr_v0_frame_joints.py; docs/hr-v0-u2d2-usb-cable-p0.1.md; electrical/vendor/startech/usb2ac50cm-r122/source-manifest-p0.1.csv; electrical/interfaces/hr-v0-u2d2-usb-cable-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-receiving-template-p0.1.csv; tools/check_hr_v0_u2d2_usb_cable_p01.py; docs/hr-v0-panel-rail-duct-p0.1.md; electrical/vendor/phoenix-contact/panel-rail-duct-r123/source-manifest-p0.1.csv; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-cut-plan-p0.1.csv; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-holds-p0.1.csv; tests/forms/hr-v0-panel-rail-duct-receiving-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py; docs/hr-v0-watchdog-pcb-mounting-interface-p0.1.md; electrical/panel/hr-v0-watchdog-pcb-mounting-p0.1/; tools/check_hr_v0_watchdog_pcb_mounting_interface_p01.py; docs/hr-v0-watchdog-pcba-capability-inquiry-p0.1.md; electrical/manufacturing/hr-v0-watchdog-pcba-rfi-p0.1/; tools/check_hr_v0_watchdog_pcba_inquiry.py; docs/hr-v0-watchdog-pcba-assembly-data-p0.1.md; electrical/manufacturing/hr-v0-watchdog-pcba-assembly-data-p0.1/board-assembly-bom.csv; electrical/manufacturing/hr-v0-watchdog-pcba-assembly-data-p0.1/source-register.csv; tools/check_hr_v0_watchdog_pcba_assembly_data.py; bom/hr-v0-watchdog-pcb-binding.csv; docs/hr-v0-watchdog-pcb-bom-binding-p0.1.md; release/hr-v0/watchdog-pcb-bom-binding-p0.1/; tools/check_hr_v0_watchdog_pcb_bom_binding_p01.py; docs/hr-v0-configuration-reconciliation-p0.1.md; configuration/hr-v0-config-reconciliation-p0.1/; release/hr-v0/configuration-reconciliation-p0.1/; tools/check_hr_v0_configuration_reconciliation_p01.py; docs/hr-v0-dxl-star-manufacturing-p0.2.md; release/hr-v0/dxl-star-manufacturing-p0.2/; tools/generate_hr_v0_dxl_star_manufacturing_p02.py; tools/check_hr_v0_dxl_star_manufacturing_p02.py; bom/hr-v0-mechanical-custom-part-binding-p0.2.csv; docs/hr-v0-mechanical-bom-binding-p0.2.md; release/hr-v0/mechanical-bom-binding-p0.2/; tools/check_hr_v0_mechanical_bom_binding_p02.py; configuration/hr-v0-config-reconciliation-p0.3/; release/hr-v0/configuration-reconciliation-p0.3/; requirements/hr-v0-gate-evidence-supplement-r214.csv; docs/hr-v0-mechanical-manufacturing-review-p0.1.md; release/hr-v0/mechanical-manufacturing-review-p0.1/; requirements/hr-v0-gate-evidence-supplement-r215.csv; tools/check_hr_v0_mechanical_manufacturing_review_p01.py; docs/hr-v0-boston-fabrication-decision-p0.4.md; release/hr-v0/boston-fabrication-route-p0.4/; requirements/hr-v0-gate-evidence-supplement-r217.csv; tools/check_hr_v0_boston_fabrication_route_p04.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-004,E0,BT-P00,partial,KiCad parse ERC netlist manifest and cross-export comparison,electrical/kicad/project-button-v2/; electrical/kicad/project-button-v3/; docs/hr-v0-watchdog-footprint-metadata-p0.1.md; electrical/manufacturing/hr-v0-watchdog-footprint-metadata-p0.1/; docs/hr-v0-watchdog-pcba-assembly-data-p0.2.md; electrical/manufacturing/hr-v0-watchdog-pcba-assembly-data-p0.2/; electrical/e2/hr-v0-e2-hardware-p0.3/; tools/check_hr_v0_electrical_v3.py; tools/check_hr_v0_watchdog_footprint_metadata.py; tools/check_hr_v0_watchdog_pcba_assembly_data_p02.py; tools/check_hr_v0_e2_hardware_slice.py; bom/hr-v0-watchdog-pcb-binding.csv; docs/hr-v0-watchdog-pcb-bom-binding-p0.1.md; release/hr-v0/watchdog-pcb-bom-binding-p0.1/; tools/check_hr_v0_watchdog_pcb_bom_binding_p01.py; docs/hr-v0-watchdog-cam-p0.1.md; release/hr-v0/watchdog-pcb-cam-p0.1/; tools/generate_hr_v0_watchdog_cam_p01.py; tools/check_hr_v0_watchdog_cam_p01.py; docs/hr-v0-dxl-star-manufacturing-p0.1.md; release/hr-v0/dxl-star-manufacturing-p0.1/; tools/generate_hr_v0_dxl_star_manufacturing_p01.py; tools/check_hr_v0_dxl_star_manufacturing_p01.py; docs/hr-v0-configuration-reconciliation-p0.1.md; configuration/hr-v0-config-reconciliation-p0.1/; release/hr-v0/configuration-reconciliation-p0.1/; tools/check_hr_v0_configuration_reconciliation_p01.py; docs/hr-v0-dxl-star-manufacturing-p0.2.md; release/hr-v0/dxl-star-manufacturing-p0.2/; tools/generate_hr_v0_dxl_star_manufacturing_p02.py; tools/check_hr_v0_dxl_star_manufacturing_p02.py; docs/hr-v0-e2-p115-parity-p0.1.md; electrical/e2/hr-v0-e2-p115-parity-p0.1/; release/hr-v0/e2-p115-parity-p0.1/; tools/generate_hr_v0_e2_p115_parity_p01.py; tools/check_hr_v0_e2_p115_parity_p01.py; docs/hr-v0-watchdog-cam-p0.2.md; release/hr-v0/watchdog-pcb-cam-p0.2/; tools/generate_hr_v0_watchdog_cam_p02.py; tools/check_hr_v0_watchdog_cam_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-005,E1,BT-P03 through BT-P12,partial,Native CAD STEP controlled datum/interface registers exact vendor-coordinate transforms parallel-axis proof assembly drawing and validated collision-to-stop margin,cad/hr-v0/; cad/hr-v0/mechanical-release-data.csv; cad/hr-v0/mechanical-interface-control.csv; cad/hr-v0/mechanical-assembly-components.csv; cad/hr-v0/generated/vendor-interfaces/; cad/hr-v0/generated/arm-architecture-p0.7/; cad/hr-v0/generated/assembly/; bom/hr-v0-frame-joint-schedule.csv; docs/hr-v0-mechanical-release-p0.6.md; docs/hr-v0-arm-architecture-p0.7.md; docs/hr-v0-hard-stop-design-basis-p0.3.md; docs/hr-v0-frame-joint-closure-p0.2.md; docs/hr-v0-bench-survey-p0.1.md; tests/forms/hr-v0-robotis-interface-closure-template.csv; tests/forms/hr-v0-mechanical-release-inspection-template.csv; tests/forms/hr-v0-frame-joint-receiving-assembly-template.csv; tests/forms/hr-v0-j2-limit-stop-template.csv; tools/generate_hr_v0_robotis_interface.py; tools/check_hr_v0_robotis_interface.py; tools/generate_hr_v0_arm_architecture.py; tools/check_hr_v0_arm_architecture.py; tools/generate_hr_v0_mechanical_release.py; tools/check_hr_v0_mechanical_release.py; tools/check_hr_v0_frame_joints.py; cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/; docs/hr-v0-arm-architecture-p0.8-dwg-integrated.md; release/hr-v0/arm-architecture-p0.8-dwg-integrated/; tools/generate_hr_v0_arm_architecture_p08.py; tools/check_hr_v0_arm_architecture_p08.py; configuration/hr-v0-config-reconciliation-p0.3/; requirements/hr-v0-gate-evidence-supplement-r214.csv; docs/hr-v0-mechanical-manufacturing-review-p0.1.md; release/hr-v0/mechanical-manufacturing-review-p0.1/; requirements/hr-v0-gate-evidence-supplement-r215.csv; tools/check_hr_v0_mechanical_manufacturing_review_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-006,E1,BT-P03 through BT-P12,partial,Controlled replacement fabrication drawings cut schedule inspection report and zero active obsolete packets,release/hr-v0/fabrication-rfi/; cad/hr-v0/generated/vendor-interfaces/; cad/hr-v0/generated/arm-architecture-p0.7/; bom/hr-v0-extrusion-cut-schedule.csv; bom/hr-v0-frame-joint-schedule.csv; docs/hr-v0-mechanical-release-p0.6.md; docs/hr-v0-arm-architecture-p0.7.md; docs/hr-v0-hard-stop-design-basis-p0.3.md; docs/hr-v0-fabrication-rfi-p0.1.md; docs/hr-v0-fabrication-sourcing-boston.md; docs/hr-v0-frame-joint-closure-p0.2.md; docs/hr-v0-bench-survey-p0.1.md; tests/forms/hr-v0-arm-adapter-fai-template.csv; tests/forms/hr-v0-arm-fastener-receiving-installation-template.csv; tests/forms/hr-v0-r69-fabrication-inquiry-template.csv; tests/forms/hr-v0-robotis-interface-closure-template.csv; tests/forms/hr-v0-boston-bench-survey-template.csv; tests/forms/hr-v0-mechanical-release-inspection-template.csv; tests/forms/hr-v0-frame-joint-receiving-assembly-template.csv; tools/generate_hr_v0_fabrication_rfi_packets.py; tools/check_hr_v0_fabrication_rfi_packets.py; docs/hr-v0-panel-rail-duct-p0.1.md; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-cut-plan-p0.1.csv; tests/forms/hr-v0-panel-rail-duct-installation-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py; docs/hr-v0-fabrication-input-basis-p0.1.md; release/hr-v0/fabrication-input-basis-p0.1/; requirements/hr-v0-gate-evidence-supplement-r173.csv; tools/check_hr_v0_fabrication_input_basis_p01.py; bom/hr-v0-mechanical-custom-part-binding-p0.2.csv; cad/hr-v0/generated/mechanical-drawing-p0.1/; release/hr-v0/mechanical-bom-binding-p0.2/; release/hr-v0/arm-architecture-p0.8-dwg-integrated/; tests/forms/hr-v0-mechanical-custom-part-fai-template-p0.2.csv; tools/check_hr_v0_arm_architecture_p08.py; requirements/hr-v0-gate-evidence-supplement-r214.csv; docs/hr-v0-mechanical-manufacturing-review-p0.1.md; release/hr-v0/mechanical-manufacturing-review-p0.1/; requirements/hr-v0-gate-evidence-supplement-r215.csv; tools/check_hr_v0_mechanical_manufacturing_review_p01.py; docs/hr-v0-boston-fabrication-decision-p0.4.md; release/hr-v0/boston-fabrication-route-p0.4/; requirements/hr-v0-gate-evidence-supplement-r217.csv; tools/check_hr_v0_boston_fabrication_route_p04.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-007,E1,BT-P03 through BT-P12,partial,Signed calculation package linked to CAD interfaces measured/supplier mass ledger and positive collision-to-stop margin,cad/hr-v0/mechanical-release-data.csv; cad/hr-v0/mechanical-interface-control.csv; cad/hr-v0/frame-joint-placement-p0.2.csv; cad/hr-v0/generated/mechanical-checks.json; cad/hr-v0/generated/arm-architecture-p0.7/joint-load-screen.csv; cad/hr-v0/generated/arm-architecture-p0.7/adapter-proof-analysis.csv; cad/hr-v0/generated/arm-architecture-p0.7/continuous-clearance-analysis.json; cad/hr-v0/generated/arm-architecture-p0.7/hard-stop-allocation.csv; cad/hr-v0/generated/arm-architecture-p0.7/j2-positive-stop-analysis.json; cad/hr-v0/generated/arm-architecture-p0.7/j2-positive-stop-load-screen.csv; cad/hr-v0/generated/arm-architecture-p0.7/j2-positive-stop-tolerance-screen.csv; cad/hr-v0/generated/gripper-integration-p0.2/gripper-geometry-summary.json; cad/hr-v0/generated/gripper-integration-p0.2/gripper-mass-load-sensitivity.csv; cad/hr-v0/generated/gripper-integration-p0.2/gripper-integration-holds.csv; docs/hr-v0-mechanical-r0.1.md; docs/hr-v0-mechanical-release-p0.6.md; docs/hr-v0-arm-architecture-p0.7.md; docs/hr-v0-gripper-architecture-p0.2.md; docs/hr-v0-frame-joint-closure-p0.2.md; docs/hr-v0-joint-interface-fasteners-p0.1.md; docs/hr-v0-hard-stop-design-basis-p0.3.md; docs/hr-v0-bench-survey-p0.1.md; bom/hr-v0-frame-kit-contents.csv; bom/hr-v0-gripper-kit-contents.csv; bom/hr-v0-frame-joint-schedule.csv; docs/hr-v0-moving-mass-closure-p0.1.md; bom/hr-v0-moving-mass-ledger.csv; tests/forms/hr-v0-arm-adapter-fai-template.csv; tests/forms/hr-v0-arm-fastener-receiving-installation-template.csv; tests/forms/hr-v0-moving-mass-measurement-template.csv; tests/forms/hr-v0-frame-joint-receiving-assembly-template.csv; tests/forms/hr-v0-boston-bench-survey-template.csv; tests/forms/hr-v0-j2-limit-stop-template.csv; docs/hr-v0-fabrication-input-basis-p0.1.md; release/hr-v0/fabrication-input-basis-p0.1/; requirements/hr-v0-gate-evidence-supplement-r173.csv; tools/check_hr_v0_fabrication_input_basis_p01.py; docs/hr-v0-boston-fabrication-decision-p0.4.md; release/hr-v0/boston-fabrication-route-p0.4/; requirements/hr-v0-gate-evidence-supplement-r217.csv; tools/check_hr_v0_boston_fabrication_route_p04.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-008,E1,BT-P03 through BT-P12,partial,Swept-volume CAD stopping/drop envelope guard drawing probe/retention tests,cad/hr-v0/mechanical-release-data.csv; cad/hr-v0/generated/assembly/; docs/hr-v0-mechanical-release-p0.2.md; docs/hr-v0-guard-receiver-cable-p0.1.md; docs/hr-v0-collapse-envelope-p0.1.md; docs/hr-v0-passive-arm-receiver-p0.1.md; docs/hr-v0-passive-arm-receiver-verification-p0.1.md; docs/hr-v0-passive-arm-receiver-detail-p0.2.md; docs/hr-v0-receiver-guide-interface-p0.1.md; cad/hr-v0/generated/safety-enclosure/; cad/hr-v0/generated/power-loss-envelope-p0.1/guard-fit-screen.csv; cad/hr-v0/generated/power-loss-envelope-p0.1/receiver-role-disposition.csv; cad/hr-v0/generated/passive-arm-receiver-p0.1/receiver-summary.json; cad/hr-v0/generated/passive-arm-receiver-p0.1/receiver-closure-holds.csv; cad/hr-v0/generated/passive-arm-receiver-verification-p0.1/; cad/hr-v0/generated/passive-arm-receiver-detail-p0.2/; cad/hr-v0/generated/receiver-guide-interface-p0.1/; tests/forms/hr-v0-guard-clearance-inspection-template.csv; tests/forms/hr-v0-drop-containment-template.csv; tests/forms/hr-v0-collapse-envelope-metrology-template-p0.1.csv; tests/forms/hr-v0-passive-arm-receiver-template-p0.1.csv; release/hr-v0/collapse-envelope-p0.1/index.html; release/hr-v0/passive-arm-receiver-p0.1/index.html; release/hr-v0/passive-arm-receiver-verification-p0.1/index.html; release/hr-v0/passive-arm-receiver-detail-p0.2/index.html; release/hr-v0/receiver-guide-interface-p0.1/index.html; tools/check_hr_v0_collapse_envelope_p01.py; tools/check_hr_v0_passive_arm_receiver_p01.py; tools/check_hr_v0_passive_arm_receiver_verification_p01.py; tools/check_hr_v0_passive_arm_receiver_detail_p02.py; tools/check_hr_v0_receiver_guide_interface_p01.py; HR-V0-PASSIVE-ARM-RECEIVER-P0.1; HR-V0-PASSIVE-ARM-RECEIVER-VERIFY-P0.1; HR-V0-PASSIVE-ARM-RECEIVER-DETAIL-P0.2; HR-V0-RECEIVER-GUIDE-IF-P0.1,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-010,E1,BT-P03 through BT-P12,partial,Datasheets output/fault/inrush/regeneration review and received-unit inspection,docs/hr-v0-electrical-v3-candidate.md; docs/hr-v0-source-interface-closure-r28.md; docs/hr-v0-compute-selection-p0.1.md; docs/hr-v0-compute-subassembly-p0.1.md; docs/hr-v0-control-panel-p0.6.md; electrical/vendor/raspberry-pi/compute-r119/source-manifest-p0.1.csv; electrical/vendor/raspberry-pi/compute-r120/source-manifest-p0.1.csv; electrical/interfaces/hr-v0-compute-power-selection-p0.1.csv; electrical/interfaces/hr-v0-compute-subassembly-p0.1.csv; electrical/panel/hr-v0-control-panel-p0.6/; electrical/kicad/project-button-v3/01_external_sources.kicad_sch; tests/forms/hr-v0-source-interface-receiving-template.csv; tests/forms/hr-v0-compute-receiving-template-p0.1.csv; tests/forms/hr-v0-compute-subassembly-receiving-template-p0.1.csv; tests/forms/hr-v0-compute-installation-receiving-template-p0.1.csv; tools/check_hr_v0_compute_selection_p01.py; tools/check_hr_v0_compute_subassembly_p01.py; tools/check_hr_v0_compute_installation_p01.py; docs/hr-v0-u2d2-usb-cable-p0.1.md; electrical/vendor/startech/usb2ac50cm-r122/source-manifest-p0.1.csv; electrical/interfaces/hr-v0-u2d2-usb-cable-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-receiving-template-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-test-template-p0.1.csv; tools/check_hr_v0_u2d2_usb_cable_p01.py; docs/hr-v0-panel-rail-duct-p0.1.md; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-holds-p0.1.csv; tests/forms/hr-v0-panel-rail-duct-installation-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-011,E1,BT-P03 through BT-P12,partial,Exact order codes; current manufacturer construction evidence; received bottom-view markings and orientation; released/pressed continuity; independent mapping check,bom/bom.csv; electrical/kicad/project-button-v3/02_estop_eligibility.kicad_sch; electrical/kicad/project-button-v3/03_arm_watchdog_eligibility.kicad_sch; docs/hr-v0-reset-arm-receiving-p0.1.md; tests/forms/hr-v0-reset-arm-receiving-template.csv,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
