phase_id,phase_name,depends_on,energy_boundary,entry_evidence,status,named_authorizer,decision,warning
BT-P00,Configuration and work boundary,NONE,No physical work,Exact accepted configuration and written phase authority,OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P01,Receiving and quarantine,BT-P00,Unpowered; unopened or isolated articles,Accepted purchase/receiving records and calibrated inspection tools,OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02,Site and bench survey,BT-P00,Unpowered; no machine article,"Named Boston-area site, permission, branch/service and bench evidence",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03,Control-panel mechanical assembly,"BT-P01,BT-P02",Unpowered; no conductors installed,Released panel drilling/cut/rail/duct package,OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04,Frame dry assembly,"BT-P01,BT-P02",Unpowered; actuators absent,Released frame/joint hardware and bench interface,OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05,Joint-stack metrology,BT-P01,Unpowered; encoder reading prohibited,Separately authorized temporary-assembly traveler and exact received articles,OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06,Custom-part first articles,"BT-P01,BT-P05",Unpowered; one segregated first article per geometry,"Qualified drawing release, supplier DFM and separate first-article authority",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07,Final arm mechanical assembly,"BT-P04,BT-P05,BT-P06",Unpowered; actuator cables disconnected,"Accepted first articles, fastener stack, torque/locking and stop settings",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08,Guard and passive receiver,"BT-P02,BT-P07",Unpowered; no access credit until inspection passes,"Released guard/receiver application, anchors and proof basis",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09,Harness fabrication,"BT-P01,BT-P03,BT-P07,BT-P08",Unpowered; source ends physically absent,"Released harness drawings, pins, contacts, gauges, lengths and tooling",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10,Unpowered electrical assembly,"BT-P03,BT-P08,BT-P09",All sources absent; actuator branches disconnected and covered,"Accepted ECAD, protection, grounding and harness package",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P11,Compute and firmware staging,"BT-P01,BT-P10",Unpowered installation only; no device port opened,"Accepted compute image, firmware hashes and configuration binding",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P12,Integrated unpowered inspection,"BT-P07,BT-P08,BT-P10,BT-P11",All sources absent; guards installed,"Completed as-built, continuity-precheck and configuration records",OPEN,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P13,Connection and powered-work boundary,BT-P12,PROHIBITED,EG-001 through EG-022 closure and separate written authorization,PROHIBITED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
