artifact_id,source_path,sha256,bytes,role,authority,warning
P08-C06-STEP,cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/parts/MV0-C06_J2_positive_moving_striker_adapter.step,27e4014e78060b05698e4ca5f2fff55f5677ca2d590486e8e7c2e0a0a1dbb6d7,129679,superseded-width comparison source,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P08-C07-STEP,cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/parts/MV0-C07_J2_positive_fixed_catch_adapter.step,a08ae760dc129f1f5b29a4450a205af8fb6333d0b2b9330b293f02c212010858,148091,superseded-width comparison source,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-C06-STEP,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/parts/MV0-C06_J2_positive_moving_striker_adapter.step,2b79e6619e758914db0176ce8d4282064bbf4488f702c20760cbaa894ae1c2f9,129683,widened moving striker candidate,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-C07-STEP,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/parts/MV0-C07_J2_positive_fixed_catch_adapter.step,dfce3120c2180ad86e30f6e00275c61a634903c1c2b0cf1cc25b93f2256cf438,146693,widened fixed catch candidate,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-ASSY-STEP,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/HR-V0_arm_architecture_candidate.step,62b766aa4516b2f384652f808195b42393d1fb6947e1d4f173dd079679497894,7305275,complete candidate assembly,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-ASSY-GLB,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/HR-V0_arm_architecture_candidate.glb,91c5030920a5f8534f6e087f9978aeef73f765a3bd8fe6105e37b3fcf8c8856d,9942456,interactive three-dimensional candidate,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-ASSY-SVG,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/HR-V0_arm_architecture_candidate.svg,a8842935e111a842d89dae64606b9e2bfd6352e6a061f7905acab897d0bdb17b,2905,assembly review view,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-C06-DWG,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/MV0-C06_J2-positive-moving-striker-drawing.svg,5e0e00a2fdf07a19577dbdec9e2611caadea10d8f7c8006c282b2b1250cfe0de,2416,candidate C06 review drawing,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-C07-DWG,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/MV0-C07_J2-positive-fixed-catch-drawing.svg,ed5aacfa5b10c73ed6acbc1a46ba20cf0670ebcf76891f3a78574445ea105434,2416,candidate C07 review drawing,REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P09-COLLISION,cad/hr-v0/generated/arm-architecture-p0.9-stop-strength/collision-sweep.csv,0c9f3432e82e47c7b2beef451d9256c2f27c3e5e36f6c1b0c9819e28b9501ad4,11711585,"40,001-pose nominal discrete sweep",REVIEW EVIDENCE ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
