hold_id,open_item,state,authority,warning
SFI-H01,qualified PLr/category allocation and achieved PL/PFHd calculation,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H02,"received LC1D40ABD identity, terminal and mirror-contact inspection",OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H03,"fault current, L/R, protection, DC durability, regeneration and opening-time evidence",OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H04,full 283-terminal physical harness and 25 independent actuator power branches,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H05,"as-built CCF, diagnostic coverage, fault exclusions and environmental evidence",OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H06,measured total stopping time and all-axis stopping distance,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H07,rated whole-body fall restraint and power-loss collapse strategy,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H08,safety-related speed/travel architecture before motion,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H09,"physical zero-motion, welded-contact, brownout, backfeed and branch-fault tests",OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFI-H10,qualified electrical and functional-safety review of one frozen as-built configuration,OPEN,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
