acceptance_id,subject,execution_state,result,evidence_uri,approver,approval_date,warning
OCH-ACC-001,source/interface parity,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-002,received terminals/boards,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-003,received compute-stack geometry,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-004,route measurement,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-005,cut schedule/labels,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-006,duct fill/separation,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-007,bend/strain relief,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-008,strip/torque process,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-009,pull/visual inspection,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-010,continuity/polarity/isolation,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-011,3V3 load/drop/back-power,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-012,GPIO/cable fault/EMC/thermal/timing,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OCH-ACC-013,qualified review and written authority,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
