action,first_power_profile_disposition,torque_enable_mask,bus_tx_enable_mask,motion_possible,warning
SPEAK,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOOK_AT,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OPEN_HAND,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLOSE_HAND,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PRESENT_OBJECT,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RELEASE_OBJECT,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STAND_PREPARE,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WEIGHT_SHIFT_REQUEST,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STEP_REQUEST,REJECT PROFILE_LOCKED,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP_REQUEST,ACCEPT AS NO-OP / ZERO OUTPUT,0x00000000,0x0000,NO,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
