gate_id,gate,objective_evidence,completion_record,pass_fail,execution_state,authority,warning
BR-G01,Received target identity,controller part/revision/serial and JDBG1 orientation photographed and checked against ECAD,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G02,Adapter and cable acceptance,"native PCB candidate is present; received board and built cable pass continuity, shorts, orientation, retention and pin-one inspections",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G03,Logic supply acceptance,"voltage, current limit, isolation/reference, protection and wiring approved for received board",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G04,No-actuator boundary,"all carrier, actuator-power, actuator-bus, precharge and action connectors physically absent",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G05,Tool/configuration identity,"CubeProgrammer version, probe serial, target ELF/BIN/configuration hashes recorded",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G06,Unpowered continuity,"TVCC sense, SWDIO, SWCLK, NRST, both GND contacts and GNDDETECT all match the native adapter contact map",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G07,Controlled flash and verify,one approved operator downloads and verifies the frozen ELF without option-byte writes or mass erase,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G08,Boot-state measurement,all direction pins low; precharge/action-ready inactive; UART clocks disabled; heartbeat/fault signals match plan,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G09,Fault-injection HIL,"permit sequence and dropout latch fault, withdraw heartbeat and leave every motion output inactive",NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BR-G10,Independent disposition,controls/electrical reviewers accept evidence against exact hashes; no further stage is implied,NONE,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - UNEXECUTED NO-ACTUATOR BRING-UP PLAN - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
