issue_id,module,issue,severity,disposition,owner,evidence,warning
FC-ISS-H01,H01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-N01,N01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-T01,T01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-P01,P01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-A01,A01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-G01,G01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-A02,A02,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-G02,G02,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-L01,L01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-F01,F01,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-L02,L02,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-ISS-F02,F02,"NO PHYSICAL FIT-CHECK EXECUTED; record dimensional, interface, access, collision and routing issues here",OPEN EXECUTION HOLD,NOT EXECUTED,UNASSIGNED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
