evaluation_id,topic,required_evidence,response,review_state,reviewer,decision,warning
EV-01,provider identity/capability,attributable GAM response and controlled route,,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-02,provider part/drawing,"unique part number, revision and complete numbered views",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-03,component identity,"EHR-3, SEH-001T-P0.6 and exact wire identities",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-04,wire/contact compatibility,controlled conductor/insulation range and process confirmation,,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-05,finished dimension,provider datum reconciliation and tolerance acceptance,,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-06,cavity-2 omission,drawing plus 100 percent inspection method,,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-07,crimp process,"tool/applicator, controlled specification and validation basis",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-08,destructive process evidence,pull/cross-section/sample plan and results route,,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-09,electrical inspection,"100 percent continuity/isolation method, limits and report",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-10,pair lay/routing,"manufacturing capability, tolerance and exit-strain control",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-11,traceability/conformance,"work order/lot, traveler summary and certificate",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EV-12,commercial,"MOQ, quantities, charges, price, lead time, validity and shipping",,NOT RECEIVED,,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
