hardware_id,door,role,candidate,quantity,mounting,safety_interlock_credit,capacity_credit,warning
HG-L-1,L,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HG-L-2,L,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HG-L-3,L,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HD-L,L,HANDLE,80/20 40-2060; 179 mm GLASS-FILLED NYLON HANDLE,1,CURRENT PRODUCT HARDWARE SET; RECEIPT/DFM VERIFY,NONE,ERGONOMIC HANDLE ONLY,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CT-L,L,POSITION CATCH,80/20 65-2090 MAGNETIC CATCH; PUBLISHED 12 lb / 5.443 kg PULL,1,65-2745 BRACKET WHERE REQUIRED; VERIFY FIT,NONE - NOT A PROTECTIVE INTERLOCK,DOOR POSITION RETENTION ONLY; VALIDATION OPEN,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HG-R-1,R,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HG-R-2,R,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HG-R-3,R,PROFILE-TO-PROFILE HINGE,80/20 12088 SLOTTED ZINC HINGE; 250 N m PUBLISHED MAX LOAD,1,4 x 75-3627 M8 x 18 CANDIDATE; VERIFY CURRENT PRODUCT CONFIGURATION,NONE,NONE UNTIL DOOR LOAD/JOINERY REVIEW,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
HD-R,R,HANDLE,80/20 40-2060; 179 mm GLASS-FILLED NYLON HANDLE,1,CURRENT PRODUCT HARDWARE SET; RECEIPT/DFM VERIFY,NONE,ERGONOMIC HANDLE ONLY,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CT-R,R,POSITION CATCH,80/20 65-2090 MAGNETIC CATCH; PUBLISHED 12 lb / 5.443 kg PULL,1,65-2745 BRACKET WHERE REQUIRED; VERIFY FIT,NONE - NOT A PROTECTIVE INTERLOCK,DOOR POSITION RETENTION ONLY; VALIDATION OPEN,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
