test_id,test,configuration,acceptance,execution,result,evidence_uri,warning
PAD-TEST-01,incoming identity/CoC and thickness <=0.75 mm,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-02,die-cut geometry flatness and captive retention,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-03,force-deflection and hysteresis at actual ~9.75 mm/s and min/max temperature,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-04,single-rail 10 deg/s instrumented impact,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-05,twin-rail 10 deg/s instrumented impact and first-contact mismatch,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-06,current/torque/power-removal transient during contact,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-07,rebound and overtravel,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-08,compression set wear and retention through qualified cycle count,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-09,aging contamination and temperature exposure,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PAD-TEST-10,correlation to accepted inertia/contact/load model,received 2300327 coupon and P0.12 metal backup; exact fixture/repetitions SELECTION REQUIRED,SELECTION REQUIRED by qualified mechanical/test review,NOT EXECUTED,OPEN,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
