hold_id,topic,closure_evidence,warning
ETH-001,ALLOWABLE PARALLEL LOAD,Identifiable Pilz/Schneider application evidence or qualified analysis accepts maximum tap current and capacitance at every exact node,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-002,NODE ENVELOPE,Minimum/nominal/maximum/reverse/transient voltage and source impedance measured with traceable equipment in the exact unmodified circuit,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-003,DIAGNOSTIC NONINTERFERENCE,"Tap-absent versus tap-present traces prove no input, monitored-start, EDM, simultaneity, dropout or diagnostic change","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-004,SINGLE-FAULT BEHAVIOR,"Every divider/protection open, short, drift, ground, harness and isolation fault is analyzed and physically injected where safe","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-005,PROTECTED ROUTING,"Start/feedback tap wiring, if retained, has accepted protected/separate installation and common-cause disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-006,COIL TRANSIENT,"Installed K1/K2 A1-A2 waveform and built-in suppressor clamp envelope are measured across supply, temperature and opening cases","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-007,EXACT PARTS,"Resistors, protection, PCB, connectors, insulation, creepage/clearance and harness order codes are selected from current controlled data","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-008,TIMING UNCERTAINTY,Divider/amplifier/DAQ threshold and skew are calibrated into the R174 uncertainty budget,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-009,QUALIFIED DISPOSITION,Qualified electrical and functional-safety reviewers accept the exact temporary or permanent observation method,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ETH-010,WORK AUTHORIZATION,"Separate controlled authorization defines guarded setup, actuator isolation, personnel, PPE, probes and abort conditions","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
