step_id,action,completion_evidence,recorded_value,performed_by,witness,result,execution_state,authority,warning
IAD-W01,"record supplier, SKU, package/lot, received quantity, cable length and both connector end styles",incoming record complete; any end-style mismatch stops work,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W02,serialize each cable and photograph both housings before modification,cavity numbering/orientation visible; do not identify cavities by wire color alone,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W03,select and qualify a damage-controlled extraction method on sacrificial samples,"housing lance, terminal and insulation damage criteria approved before production-candidate work",NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W04,extract complete factory GND and VDD conductors from cavities 1 and 2 at both ends,two complete conductors and four terminals removed; no cut-flush or hidden unterminated conductor,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W05,"inspect retained data terminals, housing lances and empty upstream cavities",no visible damage; retained data terminals locked; upstream cavities 1 and 2 empty,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W06,insert the destination actuator's separately qualified branch-return and branch-VDD contacts into cavities 1 and 2,"polarity, full insertion and retention recorded against adapter register",NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W07,perform 100 percent point-to-point continuity and wrong-cavity inspection,only required data paths and destination power contacts present,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W08,measure isolation from upstream cavities 1/2 to every conductor and destination power contact,acceptance resistance and test voltage SELECTION REQUIRED by qualified electrical reviewer,NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W09,perform pull/retention and repeated-mate inspection on sacrificial/qualification samples,"force, cycles and damage limits SELECTION REQUIRED; no production-candidate reuse without disposition",NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-W10,route the nominal cable length through the exact joint pair and full commanded range,"no tension, pinch, connector load or bend violation; final clamp/slack disposition recorded",NONE,UNASSIGNED,UNASSIGNED,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
