role,path,sha256,warning
motion-controller native ECAD GPIO,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/control-gpio-map.csv,8c619143fe6b2b99c7ed704ca44d4a4b88ba87dc948c971fe9cb0c5d20b16da0,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
motion-controller native ECAD UART,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/uart-pin-map.csv,75d7c4f5c42ed1d7446f3a7543224d0cb920ec62a5e3399cc45b53290eec8eac,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25-axis bus binding,hr30/whole-body-p0.1/actuator-bus-axis-binding.csv,7d44e70ba8153b414748650523f6eca9c07bf5760a0ec9b09f8ac4051d08962f,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
eight-bus topology,hr30/whole-body-p0.1/actuator-bus-topology.csv,57701fe5ee50fd0874617a80686bc756e14c96d8da3fe0b3f2536f0100ded5cc,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25-axis commissioning matrix,hr30/whole-body-p0.1/electrical/axis-commissioning-station-p0.1/axis-commissioning-matrix.csv,682718d787627a89f2dfa03a5bdac4e1c408c87aa8b0e6a86ed035d3a5afae1b,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
structured action schema,hr30/whole-body-p0.1/structured-action-request.schema.json,43de1e3a2776f2b4b245d8e7c4ee64684fd7180df18ce105f5130c30aff95100,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
portable C state machine,firmware/hr30-motion-controller/src/hr30_motion.c,f74c30ab9040c10a03e02b128c79a4d39dbc6e32c6b986a1e8b94bee3126064a,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
portable C interface,firmware/hr30-motion-controller/include/hr30_motion.h,77e6e9fabb4805386533ee50f8cad48efd0124cde0b5de88c8de0e6163a5dc71,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
compiled host evidence,firmware/hr30-motion-controller/output/host-p0.1/build-evidence.json,3a9006e52159da1820c839b5fbf3eb487bf2ab732e7e4f81340bc624c153a823,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32 target source,firmware/hr30-motion-controller/platform/stm32h743/hr30_stm32h743_target.c,b9d4da29846905647b17103dc39a6cd437ecefdd3ae25f7575d74c8f924b8fe7,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32 startup,firmware/hr30-motion-controller/platform/stm32h743/startup_hr30_stm32h743.S,c2ccf15dafa1699d8161202e3d63dd31356c188475ca0be3a9546130c3ae033e,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32 linker script,firmware/hr30-motion-controller/platform/stm32h743/stm32h743zit6_hr30.ld,345e3909e16132a237b8d4c2379cb74e87029688507aa69b63d3a39a6f4bc036,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32 toolchain lock,firmware/hr30-motion-controller/target-toolchain-lock.json,6f71c797a05bbdfa42936a9b761acbb5d7731a26733cad41f27fb8262572602b,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
compiled STM32 target evidence,firmware/hr30-motion-controller/output/stm32h743-p0.1/build-evidence.json,7a62d3f9579ed6bf88b971d4b1f0502eca8da4c41450e0be6da0f8eeac267424,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
firmware generator,tools/generate_hr30_motion_firmware_p01.py,e0d466f889120a56bad7b82b4066734ab67a410507d5310193628e455314e867,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
host build script,tools/build_hr30_motion_host_runner.ps1,8ab64b54125b17690d40e19108b5f2998056c9010196dc49c4d0b64df79f468e,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32 target build script,tools/build_hr30_motion_stm32_target.ps1,b2e57b9f773c258485148769cfe905c7d71d03bfdada156a138df367f0c74ed5,"PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
