j2_deg,metal_clearance_mm,metal_intersection_mm3,maximum_bumper_envelope_clearance_mm,classification,status
115.00,2.335883763,0.000000000,1.602860840,SOFT_LIMIT,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.05,2.309318223,0.000000000,1.573234009,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.10,2.283487123,0.000000000,1.544563155,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.15,2.258415685,0.000000000,1.516902508,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.20,2.234129502,0.000000000,1.490308341,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.25,2.210654474,0.000000000,1.464838761,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.30,2.188016728,0.000000000,1.440553439,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.35,2.165565505,0.000000000,1.417513263,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.40,2.120837506,0.000000000,1.395779912,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.45,2.076204925,0.000000000,1.375415354,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.50,2.031670964,0.000000000,1.356151684,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.55,1.987238962,0.000000000,1.336998346,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.60,1.942912402,0.000000000,1.317883399,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.65,1.898694913,0.000000000,1.298806859,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.70,1.854590283,0.000000000,1.279768740,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.75,1.810602466,0.000000000,1.260769055,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.80,1.766735588,0.000000000,1.219910285,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.85,1.722993957,0.000000000,1.173655685,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.90,1.679382076,0.000000000,1.127472358,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.95,1.635904646,0.000000000,1.081363544,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.00,1.592566582,0.000000000,1.035332675,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.05,1.549373024,0.000000000,0.989383387,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.10,1.506329345,0.000000000,0.943519536,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.15,1.463441166,0.000000000,0.897745215,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.20,1.420714370,0.000000000,0.852064771,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
