relative_path,sha256,bytes,warning
actual-quadrature-jacobian-register.csv,bef5c5cc4fd6f86a5c4bfa6fc2047c7b2fa92bb298f9d41010560e7295fae859,24207,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
analysis-status.json,44208c0ba28a20b313281ce4156fed5aa85920c6622823f1a7152bc54c6e9c38,2804,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
c07-conformal-zone-mesh.msh.gz,26cd6dfa05df08a24810ab7bc28972b53d491b396e91ec016b3c6f76cb448d56,65969483,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
execution-provenance.json,b3b235a6a6e836a9025a1242079b829ff87f0b89730fc27c43a179075d857021,4141,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
frozen-pe-topology-protocol.json,6b3c1ba304ee8a47e29447dac745671a6fb824df7c0df569807162e2a772d5f8,2417,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
method-baseline-register.csv,7b9823d3c3e459d14caa861b82227cb50f89a2fcd5242bfe072459a9f74d95f7,546,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
method-execution-register.csv,17b21af10f0faa19a5d3ea6a91b27b88f56ca24fedd68fcbb64202a0b68633b3,482,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
open-holds.csv,4caacb0f5193d254060caa1f9f78cc64d75579f750ce9369a3d0f296f4fbb1af,2321,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
raw-linear-mesh.npz,a4ceed60cbea02919c5fbf6a9eaf9b4d815dd0b55eecb3b103f276abad8285a2,22245423,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
raw-tet10-mesh.npz,f79584058b175310743eab63b8132b2fc996043b9f9aef8aef80a07f160eff3d,58634031,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
README.md,b0ec1bf291940d45b1f09c381be9d2d1dc3adc7c4d87a57b9a7d4081d6c3ec89,697,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
sicn-histogram.csv,0eeb51f8fbb14a993ca361f42eca01b773d3cfa221ea686f39f830d8c15ee6ea,94054,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
successor-field-resolution.csv,d2cfc2b5af8d3fe8bb8a2790fed7082f03b1aaf74fd0db32708d7616144ec413,3017,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
zone-quality-summary.csv,0b38c8856958f1e7ff950a1605684ea31a5173f0f32229c13697c50f93dac877,7260,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
zone-volume-integration.csv,8a227727f99135e4dfe31df35352fc8738df9ec5afbb61994db61ec108076e28,8772,"PRELIMINARY - PREREGISTERED PE-JUNCTION MESH-METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
