reference,change_class,controlled_change,e2_power_state,warning
F1,COMMON_REF_CHANGED,sheet 06 renamed; output becomes J1_FUSED_PRELIMIT,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F2,COMMON_REF_CHANGED,sheet 06 renamed; output becomes J2_FUSED_PRELIMIT,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F3,COMMON_REF_CHANGED,sheet 06 renamed; output becomes J3_FUSED_PRELIMIT,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
INJ1,COMMON_REF_CHANGED,moved to sheet 10; P0.2 identity; positive inputs become J1/J2/J3_LIMITED_VDD,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J1,COMMON_REF_CHANGED,positive terminal becomes J1_LIMITED_VDD,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J2,COMMON_REF_CHANGED,positive terminal becomes J2_LIMITED_VDD,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J3,COMMON_REF_CHANGED,positive terminal becomes J3_LIMITED_VDD,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
LIM1,ADDED,P0.3 shoulder branch limiter carrier interface,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
LIM2,ADDED,P0.3 elbow branch limiter carrier interface,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
LIM3,ADDED,P0.3 gripper branch limiter carrier interface,PHYSICALLY ABSENT OR UNWIRED,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
