item_id,reference,manufacturer,manufacturer_part_number,description,quantity,candidate_state,physical_release,evidence_source,evidence_revision_or_date,closure_evidence_required,warning
PAN-001,ENC1,Hammond Manufacturing,PJ242010RT,"24 x 20 x 10.13 in raised-lid twist-latch fiberglass wallmount enclosure; catalog outside 610 x 508 x 257 mm",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DRILLING,https://www.hammfg.com/part/PJ242010RT,"official product page and PJRT catalog record rechecked 2026-08-07","received dimensions; hinge/latch and cover construction; cable entries; bench or wall mounting; ingress/type after modification; thermal; qualified enclosure-system review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-002,BP1,Hammond Manufacturing,18P2117,"White steel inner panel; nominal 21 x 17 in (533.4 x 431.8 mm); 0.10 in drawing thickness",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DRILLING,https://www.hammfg.com/part/18P2117,"official product page/drawing and PJRT compatibility record rechecked 2026-08-07","received dimensions/flatness/coating; enclosure fit; fastener and protective-bonding disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-003,XT1-01/POS03:06,Phoenix Contact,3209510,"PT 2,5 gray feed-through terminal block; NS 35 rail",5,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR WIRING,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-pt-25-3209510,"official product data accessed 2026-08-07","received identity; terminal markings; conductor/termination qualification; current/temperature coordination",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-004,XT1-02,Phoenix Contact,3209523,"PT 2,5 BU blue feed-through terminal block; NS 35 rail",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR WIRING,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-pt-25-bu-3209523?type=pdf,"official product PDF accessed 2026-08-07","received identity; terminal markings; conductor/termination qualification; current/temperature coordination",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-005,XT1-EC,Phoenix Contact,3030417,"D-ST 2,5 end cover",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/end-cover-d-st-25-3030417,"official product data accessed 2026-08-07","received compatibility and installed finger-safe inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-006,XT1-CL-L/XT1-CL-R,Phoenix Contact,3022218,"CLIPFIX 35 end bracket",2,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/end-block-clipfix-35-3022218?type=pdf,"official product PDF accessed 2026-08-07","received compatibility and retention inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-007,XT1-MARK,Phoenix Contact,0828734,"UCT-TM 5 terminal-marker sheet; 5.2 mm pitch",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/terminal-marking-uct-tm-5-0828734?type=pdf,"official product PDF accessed 2026-08-07","printed marker durability and position-to-net inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-008,DR1/DR2,Phoenix Contact,1207650,"NS 35/7,5 PERF 500MM DIN rail; proposed cut stock",1,EXACT CATALOG CANDIDATE,HOLD - NO CUTTING OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/din-rail-ns-3575-perf-500mm-1207650,"official product data accessed 2026-08-07","received dimensions; cut/deburr method; fastener/bonding disposition; pull test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-009,WD1/WD2/WD3,Phoenix Contact,3240189,"CD 40X40 wiring duct; 40 x 40 x 2000 mm; proposed cut stock",1,EXACT CATALOG CANDIDATE,HOLD - NO CUTTING OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/wiring-duct-cd-40x40-3240189?type=pdf,"official product PDF accessed 2026-08-07","fill calculation; thermal/segregation review; cut/deburr/cover retention inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-010,H1,IDEC,HW1P-1FQD-A-24V,"Amber 22 mm flush pilot light; 24 VAC/DC; screw terminal",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/22mm-25mm-30mm-switches/hw-22mm-heavy-duty/hw1p-1fqd-a-24v,"official product page and HW screw-terminal catalog dated 2026-07-23; accessed 2026-08-07","execute HR-V0-H1-RCV-P0.1 and its fourteen-row form: received identity; terminal markings/internal circuit/polarity; current; brightness; legend and human-factors acceptance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-011,S0,IDEC,XW1E-BV402M-R,"Dual-NC 22 mm emergency-stop candidate; inherited from V3 BOM",1,EXACT V3 CANDIDATE,HOLD - NO ORDER OR DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,"V3 evidence rechecked 2026-08-06","received identity; positive-opening contact positions; continuity; mounting; human-factors review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-012,S1,IDEC,HW1B-M1F10-B,"Black momentary 1NO RESET operator; inherited from V3 BOM",1,EXACT V3 CANDIDATE,HOLD - TERMINALS TBD; NO DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-b,"HW Series Catalog_Screw dated 2026-07-23; accessed 2026-08-07","received-lot internal identity; terminal mapping; continuity; mounting; human-factors review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-013,S2,IDEC,HW1B-M1F10-G,"Green momentary 1NO ARM operator; inherited from V3 BOM",1,EXACT V3 CANDIDATE,HOLD - TERMINALS TBD; NO DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-g,"HW Series Catalog_Screw dated 2026-07-23; accessed 2026-08-07","received-lot internal identity; terminal mapping; continuity; mounting; human-factors review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-014,SR1/SRA1,Pilz,750104,"Two PNOZ s4 24 VDC safety-relay candidates; inherited from V3 BOM",2,EXACT V3 CANDIDATE,HOLD - APPLICATION REVIEW REQUIRED,https://www.pilz.com/en-INT/eshop/product/750104,"Pilz manual 21396-EN-23 and product file 2026-06-22; rechecked 2026-08-06","qualified application review; received identity; configuration; terminal torque; proof/fault validation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-015,KWD1/KWD2,Phoenix Contact,2967060,"Two PLC-RSC-24DC/21-21 ordinary diagnostic/watchdog relay modules; zero safety credit",2,EXACT V3 CANDIDATE,HOLD - APPLICATION/FMEA TEST REQUIRED,https://www.phoenixcontact.com/en-pc/products/relay-module-plc-rsc-24dc-21-21-2967060?type=pdf,"official PDF data-maintenance 2026-04-01; accessed 2026-08-06","received polarity; terminal identity; stuck/weld/short/open fault tests; replacement control",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-016,K1/K2,Schneider Electric,LC1D25BD,"Two TeSys D three-pole contactor candidates; 24 VDC coil",2,EXACT V3 CANDIDATE,HOLD - DC APPLICATION DISPOSITION REQUIRED,https://download.schneider-electric.com/files?filename=Catalog&p_Doc_Ref=MKTED210011EN,"Catalog 2026 plus product/application records rechecked 2026-08-07","written DC critical-current/application disposition; loaded interruption; mirror-contact proof; thermal/coordination evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-017,WDPCB1,Project Button,PCB-P0.5,"Watchdog routed source candidate; 160 x 100 mm; no Gerber/drill release",1,PROJECT SOURCE CANDIDATE,HOLD - NO FABRICATION OUTPUTS,"electrical/kicad/project-button-v3/project-button-v3.kicad_pcb",PCB-P0.5,"supplier acceptance; PCB order; received inspection; bare-board test; assembly; HIL/fault/EMC/thermal evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-018,INJ1,Project Button,DXL-STAR-P0.1,"DYNAMIXEL branch-isolating injection board; 100 x 60 mm; no Gerber/drill release",1,PROJECT SOURCE CANDIDATE,HOLD - NO FABRICATION OUTPUTS,"electrical/kicad/hr-v0-dxl-star/hr-v0-dxl-star.kicad_pcb",DXL-STAR-P0.1,"protection selection; cable/connector application; supplier acceptance; received isolation/no-backfeed/thermal/waveform evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-019,JC1/SD1/F0-F3 LINKS/FSR1-FSR2 LINKS,SELECTION REQUIRED,SELECTION REQUIRED,"Reserved physical envelope for unresolved locking 24 V inlet; service disconnect; all six ampere-specific fuse links; mounting and termination hardware",1,SELECTION REQUIRED,HOLD - NO ORDER; NO HOLES; NO SUBSTITUTION,,SELECTION REQUIRED,"exact topology-compatible parts; ratings; dimensions; terminals; coordination; heat; service access; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-020,WIRE/TERM/GLAND,SELECTION REQUIRED,SELECTION REQUIRED,"Panel conductors; ferrules/lugs; labels; glands; strain relief; flexible door loom; protective bonding hardware",1,SELECTION REQUIRED,HOLD - NO ORDER OR WIRING,,SELECTION REQUIRED,"fault current; length; ambient; bundling; temperature; voltage drop; connector limits; color; jurisdiction; termination qualification",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
