sheet,reference,status,evidence_needed
01_energy_precharge_conversion.kicad_sch,ACB1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Mains inlet, disconnect, branch protection, enclosure, terminals, conductor sizes and Boston installation jurisdiction require qualified selection."
01_energy_precharge_conversion.kicad_sch,TETH1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Connector, current/fault rating, contact sequence, breakaway/retention, flex cable, strain relief and PE treatment remain SELECTION REQUIRED."
01_energy_precharge_conversion.kicad_sch,REG_TTL_L,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Item 2576 is a 9 V candidate. Current margin, input/output transients, protection, thermal behavior, mounting and exact contacts remain open."
01_energy_precharge_conversion.kicad_sch,REG_TTL_R,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Item 2576 is a 9 V candidate. Current margin, input/output transients, protection, thermal behavior, mounting and exact contacts remain open."
01_energy_precharge_conversion.kicad_sch,REG_TTL_H,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Item 2576 is a 9 V candidate. Current margin, input/output transients, protection, thermal behavior, mounting and exact contacts remain open."
02_estop_permit_contactors.kicad_sch,S0,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact device, contacts, terminals, enclosure, spacing and direct-opening application remain selection and qualified review work."
02_estop_permit_contactors.kicad_sch,S1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,Reset is eligibility only and must not command motion. Exact anti-tie-down/contact/terminal behavior requires selection and physical test.
02_estop_permit_contactors.kicad_sch,WD_INH1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"The ordinary watchdog may only remove eligibility; it can never bypass S0, reset, EDM or issue motion. Exact fail-low interface and fault validation remain open."
02_estop_permit_contactors.kicad_sch,K1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Family datasheet lists an optional mechanically linked auxiliary; it is not claimed as an IEC mirror contact. Exact order code, DC duty, coil suppression, EDM suitability, fault current and life require confirmation."
02_estop_permit_contactors.kicad_sch,K2,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Second series interruption candidate. Exact order code, common-cause, welded-contact detection, DC interruption and energy-removal behavior remain unvalidated."
03_compute_motion_watchdog.kicad_sch,CPU1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No actuator-bus credentials or raw joint-register authority. Exact power, storage, cooling, privacy and network controls remain open."
03_compute_motion_watchdog.kicad_sch,WD1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Heartbeat supervision is diagnostic only and may not bypass S0, monitored reset, EDM or deterministic motion authorization."
04_motion_controller_carrier_connectors.kicad_sch,REG1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"The exact regulator, filtering, sequencing, brownout, protection, thermal and EMC design remains open. This block does not authorize powering MCU1 or either carrier."
09_left_arm_rs485.kicad_sch,PORT_RS_LARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
09_left_arm_rs485.kicad_sch,PBR_L_SHOULDER_PITCH,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
09_left_arm_rs485.kicad_sch,AX_L_SHOULDER_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
