carrier_reference,hole_reference,board_relative_x_mm,board_relative_y_mm,candidate_backplate_x_mm,candidate_backplate_y_mm,hole_diameter_mm,release_state,warning
LIM1,MH1,5.0,5.0,59.0,543.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH2,95.0,5.0,149.0,543.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH3,5.0,55.0,59.0,593.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH4,95.0,55.0,149.0,593.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH1,5.0,5.0,169.0,543.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH2,95.0,5.0,259.0,543.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH3,5.0,55.0,169.0,593.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH4,95.0,55.0,259.0,593.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH1,5.0,5.0,59.0,613.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH2,95.0,5.0,149.0,613.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH3,5.0,55.0,59.0,663.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH4,95.0,55.0,149.0,663.0,3.2 BOARD NPTH; backplate hole/fastener SELECTION REQUIRED,COORDINATE CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
