attachment_id,path,sha256,recipient_scope,release_boundary,warning
R257-AT-01,docs/hr-v0-joint-stack-metrology-p0.2.md,eb7d69d51925e22336f16c3453dcfc0d0716f4fcd7ad467beb0ac44bd9bdfe27,METROLOGY,Five-method execution boundary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-02,release/hr-v0/joint-stack-metrology-p0.2/method-register.csv,d732b5bb5713dbbd04e60a19f914e4463d8e74a71817201b7f00121cf75aa1c6,METROLOGY,Five unexecuted methods,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-03,release/hr-v0/joint-stack-metrology-p0.2/uncertainty-input-register.csv,742f69efdc1518cadacdeb104c3b6f9a8335d66d1fef71a8254917d3868e54aa,METROLOGY,Blank uncertainty scaffold,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-04,docs/hr-v0-joint-measurement-definition-p0.1.md,57b830161fb6c6ab5e819445210a131eb8e7ef55111444852f75f728cd1701cb,METROLOGY,Exact feature/measurand interpretation boundary,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-05,release/hr-v0/joint-measurement-definition-p0.1/feature-register.csv,5be50e04e90f3ba793fc3ff8a9d8117c97e914ff0d2e6f08ce849f79f5f41df0,METROLOGY,79 exact CAD source features,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-06,release/hr-v0/joint-measurement-definition-p0.1/measurand-definition.csv,53e6bedf596dbf7421abd08a895d3b86e2839270ffab1ab15ec5127a209db961,METROLOGY,18 unexecuted received characteristics,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-07,release/hr-v0/joint-measurement-definition-p0.1/transform-register.csv,d072e5c2e31b3e5aaad73e99ea436b46e9bf550002406ab19ff22c1085502a69,METROLOGY,Three source-to-joint transforms,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-08,release/hr-v0/joint-measurement-definition-p0.1/hsi-closure-map.csv,935e9b9882844950829a9c6015826281a8b60154a583cf26ebc2be4825b91e11,METROLOGY,20 open HSI routes,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-09,release/hr-v0/joint-measurement-definition-p0.1/execution-result-template.csv,e068383173fc519ce979cf4c8c89dd0212a7e0411b39e27a0fff16232de84ba7,METROLOGY,Blank result/uncertainty/evidence fields,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-10,release/hr-v0/joint-measurement-definition-p0.1/axial-feature-index.svg,320cf75134301ae0539fb477f5f00b258c128c244cfeea1ec9ed3a644af5b2b2,METROLOGY,Annotated nominal axial reference,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-11,release/hr-v0/joint-measurement-definition-p0.1/attachment-pattern-index.svg,69fd1fd22a71967b14ac494a56e6bf731369380d0fc07cf1fe8ed9db674661fd,METROLOGY,Annotated nominal pattern reference,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-12,cad/vendor/robotis/XMHD-540.N101.I101.STP,6e0df65638b3a23b12c7ee1114d4d06f5ec2de9e84e3ffddd7e115e8f8faf39f,METROLOGY,Exact controlled XM540 source STEP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-13,cad/vendor/robotis/FR13-H101K.stp,269291e14f47a793a3c915358dd4a90b2b3f2aa4d2168e40d14f683c1bd21b1c,METROLOGY,Exact controlled H101 source STEP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R257-AT-14,cad/vendor/robotis/FR13-S102K.stp,8203f33ef40c82bc503db008c6a8d52ddeed25053960f2064da2250332974c03,METROLOGY,Exact controlled S102 source STEP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
