hold_id,unresolved_selection,evidence_needed,state,authority
ES-01,prospective DC fault current at tether and battery configurations,"source impedance, pack PCM behavior, wiring impedance and fault study",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-02,branch protection values and DC interrupt ratings,"fault current, cable length/gauge, connector limit, inrush, duty, ambient, bundling and coordination",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-03,K1/K2 exact order codes and EDM contacts,"manufacturer application confirmation, auxiliary/main linkage semantics, coil suppression and DC load profile",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-04,functional-safety requirements/allocation,"hazard analysis, PLr/SIL target, architecture category, common-cause analysis and qualified validation plan",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-05,maximum stopping time/distance,"measured detection, control, contactor, drive, mechanical and fall-restraint timing",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-06,regeneration/overvoltage/precharge/discharge,"measured bus capacitance/inertia, braking energy, supply reverse-current behavior and clamp design",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-07,PE/frame/0 V/shield topology,"installation class, mains enclosure, jurisdiction, EMC and touch-current review",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-08,tether connector/cable/service disconnect,"touch-safe keyed DC rating, current, flex, strain relief, trip hazard, breakaway and retention",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-09,onboard pack/cassette/charger,"received min/max voltage, PCM limits, containment, retention, venting, impact, connector and interlock tests",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-10,TTL and 5 V converter selections,"line/load/transient regulation, current limit, thermal/EMC, branch fault and enable behavior",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-11,first energization procedure approval,"qualified electrical and functional-safety review, locked limits, guarded restraint, instrumentation and signed test authority",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
ES-12,jurisdiction and makerspace constraints,"Boston venue rules, equipment classification, inspection and qualified responsible persons",SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
