route_id,authority,artifact_or_route,locator,accessed_date,observed_state,controlled_evidence,engineering_disposition,release_boundary
GSR2-001,ROBOTIS,current OpenMANIPULATOR-X overview,https://docs.robotis.com/docs/systems/openmanipulator_x/overview/,2026-08-08,AVAILABLE,"Publisher identifies RM-X52-TNM as open-source hardware and exposes STL/3D-printing links","Provenance only; follow the linked routes and control actual payloads","Not a manufacturing release or assembly datum"
GSR2-002,ROBOTIS,legacy hardware-source endpoint 690,https://www.robotis.com/service/download.php?no=690,2026-08-08,BROKEN_LEGACY_ROUTE,"Historical link remains present but does not yield a controlled payload","Superseded for current route discovery by GSR2-003; retain for traceability","No file or revision inferred"
GSR2-003,ROBOTIS,current 3D-printing-parts endpoint 767,https://www.robotis.com/service/download.php?no=767,2026-08-08,LIVE_ROUTE_TO_PUBLIC_ONSHAPE,"Official landing route resolves to the Onshape document recorded in GSR2-004","Use as current publisher route; freeze exact identities and obtain an exportable immutable payload before engineering use","A live mutable link is not a controlled CAD release"
GSR2-004,ROBOTIS via Onshape,public view-only document,https://cad.onshape.com/documents/1535c2d7f05d4986e5ab539c/w/72b49bd8c74a47b010391012/e/454b64d637f42073514486f4,2026-08-08,PUBLIC_VIEW_ONLY_EXPORT_NOT_EXPOSED,"Document/workspace/selected-element identities and public metadata recorded locally","Request export permission or publisher-supplied immutable STEP/native source; do not derive production geometry by screen measurement","No anonymous CAD payload was acquired; no manufacturing or fit credit"
GSR2-005,ROBOTIS via Onshape,original full-robot STEP blob metadata,7beff6dfbe34475b2c29540f,2026-08-08,METADATA_ONLY_DOWNLOAD_REQUIRES_AUTHORIZATION,"Filename media type element ID element microversion and foreign-data ID recorded in element index","Obtain the real blob from ROBOTIS or an authorized Onshape export and then hash/type/license/revision control it","Metadata is not the STEP payload"
GSR2-006,ROBOTIS on Thingiverse,OpenMANIPULATOR-X design 3069574,https://www.thingiverse.com/thing:3069574,2026-08-08,METADATA_ONLY_INTERACTIVE_VERIFICATION_BLOCKED,"Publisher listing identifies individual mechanism filenames","Acquire through an authorized accessible route; do not bypass access controls","No file payload or hash acquired"
GSR2-007,ROBOTIS-GIT,open_manipulator frozen commit 9187eca0920458be04d2399906388f55242f81f1,https://github.com/ROBOTIS-GIT/open_manipulator/tree/9187eca0920458be04d2399906388f55242f81f1,2026-08-08,CONTROLLED_PARTIAL_SOURCE,"link5 palms URDF and license are locally frozen and hashed","Retain for collision and kinematic reference only","Incomplete mechanism; meshes are not manufacturing CAD"
GSR2-008,Project Button,received RM-X52-TNM article metrology route,cad/hr-v0/gripper-metrology-plan-p0.1.csv,2026-08-08,PROGRAM_OWNER_APPROVAL_REQUIRED,"Existing controlled inventory datum and metrology templates","Execute only after separate purchase and physical-work authorization","Not executed; no article received"
GSR2-009,Project Button,prepared ROBOTIS source request,docs/vendor-queries/robotis-openmanipulator-source-request-p0.2.md,2026-08-08,UNSENT,"Exact requested source revision license units transforms mates and manufacturing inputs","Program owner may authorize sending; archive the reply and payloads before disposition","No supplier contact or response"
GSR2-010,Project Button,anonymous publisher-route recheck,"Thingiverse file/ZIP/API routes and Onshape blob route recorded by GSR2-004 through GSR2-006",2026-08-08,ANONYMOUS_ROUTES_EXHAUSTED_NO_PAYLOAD,"Thingiverse file and ZIP returned HTTP 403; Thingiverse API returned HTTP 401; Onshape blob returned HTTP 403; no credential or access-control bypass attempted","Close only by publisher response authorized export or separately authorized received-article metrology","HTTP outcomes prove only current access state; no CAD payload dimension permission or release inferred"
