stackup_id,sequence,layer,type,nominal_thickness_mm,material,source,release_state,warning
JLC06161H-3313,1,F.Cu,copper,0.035,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,2,dielectric 1,prepreg,0.0994,3313,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,3,In1.Cu,copper,0.0152,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,4,dielectric 2,core,0.55,FR-4,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,5,In2.Cu,copper,0.0152,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,6,dielectric 3,prepreg,0.1088,2116,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,7,In3.Cu,copper,0.0152,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,8,dielectric 4,core,0.55,FR-4,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,9,In4.Cu,copper,0.0152,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,10,dielectric 5,prepreg,0.0994,3313,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
JLC06161H-3313,11,B.Cu,copper,0.035,COPPER,https://jlcpcb.com/impedance,CANDIDATE - FAB QUOTE/RECEIPT CONFIRMATION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
