source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,authority,warning
DPH-S01,Project Button,25-axis current-cap and route-length binding,current P0.1 input,hr30/whole-body-p0.1/harness/current-policy-binding-p0.1/axis-power-policy-binding.csv,8f5bbdf833bcf303b0be867f2c13f2caccccb3b090a3f50e1854d8921d7626c2,25-axis current-cap and route-length binding,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S02,Project Button,whole-body corridor diameters and bend reservations,current P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/route-segment-register.csv,46112bc6ae6d8e82de08723082e44281b6132928dc99de9385a428eb2c27d650,whole-body corridor diameters and bend reservations,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S12,Project Button,dimensioned whole-body tangent route-guide geometry,current P0.1 input,hr30/whole-body-p0.1/harness/power-route-guides-p0.1/route-centerline-register.csv,9017028f80b5485b9323c0810f2aa2ae9691cdacaab17b8151a6f320bb699045,dimensioned whole-body tangent route-guide geometry,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S03,Alpha Wire,861802 product page,live official page; accessed 2026-08-18,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-flex/861802,N/A - LIVE PRIMARY SOURCE,2C 18 AWG; 0.210 +/- 0.010 in OD; 0.063 in core OD; 6.9 ohm/1000 ft nominal DCR at 20 C; 8xd bend; +5 to 105 C dynamic; 86000 family up to six million flex cycles,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S04,Alpha Wire,861804 product page,live official page; accessed 2026-08-18,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-flex/861804,N/A - LIVE PRIMARY SOURCE,4C 18 AWG; 0.237 +/- 0.011 in OD; 6.9 ohm/1000 ft nominal DCR at 20 C; 8xd bend; +5 to 105 C dynamic,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S05,Alpha Wire,861812 customer specification,live official PDF; accessed 2026-08-18; page revision not stated,https://www.alphawire.com/disteAPI/SpecPDF/DownloadProductSpecPdf?productPartNumber=861812,N/A - LIVE PRIMARY SOURCE,12C 18 AWG; 0.352 +/- 0.016 in OD; 0.063 in core OD; unshielded construction,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S06,Alpha Wire,Xtra-Guard Flex catalog,current official catalog; accessed 2026-08-18,https://www.alphawire.com/-/media/project/alphawire/alphawire/files/brochures/al_xgflexcatalog.pdf?rev=-1,N/A - LIVE PRIMARY SOURCE,861812 12C 18 AWG continuous-flex family; nominal conductor DCR 7.0 ohm/1000 ft at 20 C; 8xd bend; +5 to 105 C dynamic,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S07,Molex,Micro-Fit 3.0 single-row product specification PS-43650,revision N4; 2025-11-21,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/productspecificationpdf/436/43650/PS-43650-001.pdf,N/A - LIVE PRIMARY SOURCE,18 AWG wire up to 1.85 mm insulation OD; 2-circuit wire-to-wire reference 7 A/contact at <=30 C rise; 12-circuit reference 6.5 A/contact; application derating required,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S08,Molex,43030 female-terminal series,live official series page; accessed 2026-08-18,https://www.molex.com/en-us/products/series-chart/43030,N/A - LIVE PRIMARY SOURCE,430300038 tin-plated female terminal for 18 AWG and 1.85 mm maximum insulation OD,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S09,Molex,43031 male-terminal series,live official series page; accessed 2026-08-18,https://www.molex.com/en-us/products/series-chart/43031,N/A - LIVE PRIMARY SOURCE,430310021 tin-plated male terminal for 18 AWG and 1.85 mm maximum insulation OD,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S10,Molex,43020 12-circuit panel plug,live official product page; accessed 2026-08-18,https://www.molex.com/en-us/products/part-detail/430201200,N/A - LIVE PRIMARY SOURCE,430201200 is a 12-circuit dual-row polarized locking panel-mount plug,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-S11,Molex,43025 receptacle sales drawing,official sales drawing; accessed 2026-08-18,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/430/43025/430250200_sd.pdf,N/A - LIVE PRIMARY SOURCE,43025-1200 is the mating 12-circuit receptacle housing for 43020 and uses 43030 female terminals,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
