acceptance_id,subject,required_evidence,execution_state,result,evidence_uri,approver,approval_date,warning
CHA-001,carrier and DXL-star received connector identity,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-002,source/fuse far-end terminal identity,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-003,single DC 0 V/PE bond disposition,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-004,installed route and exact cut lengths,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-005,wire lot and construction,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-006,contact and housing lot identity,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-007,controlled strip specification,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-008,controlled crimp equipment and settings,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-009,crimp cross-section/visual acceptance,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-010,process-coupon pull acceptance,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-011,100 percent continuity,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-012,100 percent polarity,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-013,unintended-pair isolation,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-014,mating/retention/strain relief,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-015,voltage drop and thermal stabilization,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-016,fault-clearing and reverse-energy behavior,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-017,qualified electrical/manufacturing review,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CHA-018,separate written work authorization,executed configuration-specific record with raw data and traceable article IDs,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
