link_id,service,from_interface,to_interface,candidate_assembly,contact_definition,candidate_length_mm,straight_line_screen_mm,length_margin_mm,physical_link_built,execution_state,authority,warning
HH-L01,left vision,EQ-T01-PI5 CAM/DISP0 22-way,EQ-H01-CAMERA-L 15-pin,Raspberry Pi Standard-Mini Camera Cable 300 mm candidate,OPAQUE MANUFACTURER CABLE - INTERNAL PIN MAP NOT RECREATED,300,221,79,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L02,right vision,EQ-T01-PI5 CAM/DISP1 22-way,EQ-H01-CAMERA-R 15-pin,Raspberry Pi Standard-Mini Camera Cable 300 mm candidate,OPAQUE MANUFACTURER CABLE - INTERNAL PIN MAP NOT RECREATED,300,221,79,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L03,face video,EQ-T01-PI5 HDMI0 micro-HDMI,EQ-H01-DISPLAY full-size HDMI,"shielded flexible micro-HDMI-to-HDMI cable, 300 mm candidate",EXACT CABLE/RETENTION SELECTION REQUIRED,300,179,121,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L04,face power,HN01 protected 5 V head branch,EQ-H01-DISPLAY 5 V/GND,keyed two-conductor flexible harness,WIRE/CONTACT/PROTECTION SELECTION REQUIRED,260,0,ROUTE MEASUREMENT REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L05,touch SPI,EQ-T01-PI5 protected GPIO/SPI breakout,EQ-H01-DISPLAY pins 19/21/22/23/26 plus reference,keyed shielded low-voltage harness,REMOTE BREAKOUT/LEVEL/CONNECTOR SELECTION REQUIRED,300,179,121,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L06,audio USB,EQ-T01-PI5 USB 2.0,EQ-H01-AUDIO-AMP locking PH2.0 USB,locking PH2.0 USB UAC/DFU harness candidate,EXACT PH2.0 CABLE ASSEMBLY/PI-END RETENTION REQUIRED,300,157,143,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L07,audio power,HN01 protected 12 V auxiliary branch,EQ-H01-AUDIO-AMP external power terminal,keyed two-conductor flexible harness,WIRE/CONTACT/PROTECTION SELECTION REQUIRED,240,0,ROUTE MEASUREMENT REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L08,microphone array,EQ-H01-AUDIO-AMP 24-pin FPC,EQ-H01-MIC-ARRAY 24-pin FPC,included keyed 24-pin 0.5 mm-pitch 200 mm FPC,MANUFACTURER ASSEMBLY; RETENTION/ACOUSTIC ROUTE VALIDATION OPEN,200,84,116,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L09,left speech,EQ-H01-AUDIO-AMP speaker output L,EQ-H01-SPEAKER-L 4 ohm,two-conductor speaker lead,EXACT JST/LEAD POLARITY/STRAIN RELIEF REQUIRED,180,72,108,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L10,right speech,EQ-H01-AUDIO-AMP speaker output R,EQ-H01-SPEAKER-R 4 ohm,two-conductor speaker lead,EXACT JST/LEAD POLARITY/STRAIN RELIEF REQUIRED,180,72,108,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-L11,head cooling,HN01 protected 5 V head branch,EQ-H01-FAN red/black leads,two-conductor fan harness,EXACT MATING CONNECTOR/PROTECTION/CURRENT SENSE REQUIRED,180,68,112,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
