inspection_id,inspection,procedure,result,evidence_uri,operator,reviewer,warning
R242-I01,"received 3057 BL005 identity, markings, OD and put-up",SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I02,four-wire DCR and temperature record,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I03,each seven-wire cut length and both-end wire number,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I04,strip/ferrule/crimp/torque/pull result,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I05,WD5/WD2 segment occupancy and cover fit,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I06,23 mm bend radius and terminal entry,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I07,continuity and polarity,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I08,conductor-to-conductor and conductor-to-PE isolation,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I09,cold and worst-case conductor/duct temperature,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-I10,qualified as-built review and signed release gate,SELECTION REQUIRED,NOT EXECUTED,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
