sheet,reference,terminal,pin_name,net,status
01_external_source_panel.kicad_sch,XAC1,L,LINE,FACILITY_L,SELECTION REQUIRED
01_external_source_panel.kicad_sch,XAC1,N,NEUTRAL,FACILITY_N,SELECTION REQUIRED
01_external_source_panel.kicad_sch,XAC1,PE,PROTECTIVE EARTH,PANEL_PE,SELECTION REQUIRED
01_external_source_panel.kicad_sch,PS1,AC/L,AC LINE FUNCTION,FACILITY_L,EXACT PRODUCT CANDIDATE - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS1,AC/N,AC NEUTRAL FUNCTION,FACILITY_N,EXACT PRODUCT CANDIDATE - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS1,FG,FRAME GROUND FUNCTION,PANEL_PE,EXACT PRODUCT CANDIDATE - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS1,+V,12 V RAW OUTPUT,RAW_12V_POS,EXACT PRODUCT CANDIDATE - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS1,-V,DC RETURN,RAW_0V,EXACT PRODUCT CANDIDATE - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS2,1,DC INPUT +,RAW_12V_POS,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS2,2,DC INPUT -,RAW_0V,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS2,3,FG,PANEL_PE,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS2,4,DC OUTPUT -,SAFE_0V,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN
01_external_source_panel.kicad_sch,PS2,5,DC OUTPUT +24 V,SAFE_24V,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN
02_estop_reset_safety_relay.kicad_sch,S0,NC1-A,CHANNEL 1 FEED,SAFE_24V,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,S0,NC1-B,CHANNEL 1 RETURN,S12_CH1,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,S0,NC2-A,CHANNEL 2 FEED,S21_TEST,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,S0,NC2-B,CHANNEL 2 RETURN,S22_CH2,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,S1,NO-A,RESET FEED,S12_CH1,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,S1,NO-B,RESET / EDM LOOP,RESET_EDM,SELECTION REQUIRED
02_estop_reset_safety_relay.kicad_sch,SR1,A1,+24 V SUPPLY,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,A2,0 V SUPPLY,SAFE_0V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,S11,TEST PULSE CH1,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,S12,INPUT CH1,S12_CH1,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,S21,TEST PULSE CH2,S21_TEST,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,S22,INPUT CH2,S22_CH2,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,S34,MONITORED START / FEEDBACK,RESET_EDM,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,13,SAFETY CONTACT 1 IN,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,14,SAFETY CONTACT 1 OUT,K1_COIL_POS,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,23,SAFETY CONTACT 2 IN,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,24,SAFETY CONTACT 2 OUT,K2_COIL_POS,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,33,SAFETY CONTACT 3 IN,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,34,SAFETY PERMIT STATUS,HARDWIRED_PERMIT,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,41,AUXILIARY NC IN,SAFE_24V,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,42,AUXILIARY NC OUT,PNOZ_AUX_STATUS,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
02_estop_reset_safety_relay.kicad_sch,SR1,Y32,SEMICONDUCTOR STATUS,PNOZ_Y32_STATUS,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL
03_redundant_dc_interruption.kicad_sch,K1,M1,MAIN INPUT STUD,RAW_12V_POS,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K1,M2,MAIN OUTPUT STUD,K1_OUT,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K1,COIL+,24 V COIL POSITIVE,K1_COIL_POS,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K1,COIL-,COIL RETURN,SAFE_0V,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K1,AUX-C,NC AUX COMMON,RESET_EDM,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K1,AUX-NC,NC AUX RETURN,EDM_K1_OUT,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM
03_redundant_dc_interruption.kicad_sch,K2,M1,MAIN INPUT STUD,K1_OUT,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,K2,M2,MAIN OUTPUT STUD,TETHER_POS_SWITCHED,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,K2,COIL+,24 V COIL POSITIVE,K2_COIL_POS,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,K2,COIL-,COIL RETURN,SAFE_0V,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,K2,AUX-C,NC AUX COMMON,EDM_K1_OUT,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,K2,AUX-NC,NC AUX RETURN,RESET_EDM,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN
03_redundant_dc_interruption.kicad_sch,XPERMIT,IN,PNOZ SAFETY CONTACT,HARDWIRED_PERMIT,SELECTION REQUIRED
03_redundant_dc_interruption.kicad_sch,XPERMIT,OUT,PERMIT INPUT,MOTION_PERMIT_INPUT,SELECTION REQUIRED
04_touch_safe_tether.kicad_sch,XT1A,P1,PROJECT-ASSIGNED SWITCHED +12 V,TETHER_POS_SWITCHED,HOUSING/6 AWG CONTACT FAMILY VERIFIED - HARNESS OPEN
04_touch_safe_tether.kicad_sch,XT1A,G,PRE-MATE FRAME / SHIELD REFERENCE,PANEL_PE,HOUSING/6 AWG CONTACT FAMILY VERIFIED - HARNESS OPEN
