photo_id,required_view,configuration_label_visible,scale_visible,orientation_visible,file_uri,captured,reviewed,warning
PH-01,all article labels and received condition,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-02,panel front with full scale and orientation datum,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-03,panel rear with full scale and enclosure bosses,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-04,printed horizontal and vertical 100 mm scale checks,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-05,"LIM1 loose envelope, front and side",REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-06,"LIM2 loose envelope, front and side",REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-07,"LIM3 loose envelope, front and side",REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-08,all twelve candidate rear-fastener locations without marking,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-09,closed-cover gauge condition,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-10,six mated connector/wire sweeps,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-11,six bend-radius and duct-entry sweeps,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PH-12,service-tool access and every interference/deviation,REQUIRED,REQUIRED,REQUIRED,,NO,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
