cable_id,channel_id,from,to,cable,finished_length_mm,cut_length_mm,connector_from,connector_to,shield,state,warning
DP-TAIL-01,CH-AI-01,PS1:+V / PS1:-V,DP-01 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-PANEL-01,CH-AI-01,DP-01 JOUT.1 / JOUT.2,measurement panel J1I.1 / J1I.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,3000,3100,Phoenix 1757019,Phoenix 1757019 allocated by measurement-panel BOM,cut back and individually insulated both ends,EXACT CANDIDATE; ROUTE/BUILD/NOISE VALIDATION OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-TAIL-02,CH-AI-02,XT1A:P1 / XT1A:P2,DP-02 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-PANEL-02,CH-AI-02,DP-02 JOUT.1 / JOUT.2,measurement panel J2I.1 / J2I.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,3000,3100,Phoenix 1757019,Phoenix 1757019 allocated by measurement-panel BOM,cut back and individually insulated both ends,EXACT CANDIDATE; ROUTE/BUILD/NOISE VALIDATION OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-TAIL-03,CH-AI-03,REG_TTL_L:LOG-OUT / REG_TTL_L:LOG-RET-OUT,DP-03 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-PANEL-03,CH-AI-03,DP-03 JOUT.1 / JOUT.2,measurement panel J3I.1 / J3I.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,3000,3100,Phoenix 1757019,Phoenix 1757019 allocated by measurement-panel BOM,cut back and individually insulated both ends,EXACT CANDIDATE; ROUTE/BUILD/NOISE VALIDATION OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-TAIL-04,CH-AI-04,REG1:LOG-5V / REG1:LOG-GND,DP-04 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-PANEL-04,CH-AI-04,DP-04 JOUT.1 / JOUT.2,measurement panel J4I.1 / J4I.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,3000,3100,Phoenix 1757019,Phoenix 1757019 allocated by measurement-panel BOM,cut back and individually insulated both ends,EXACT CANDIDATE; ROUTE/BUILD/NOISE VALIDATION OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-TAIL-05,CH-AI-05,SR1:S12 / SR1:A2,DP-05 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-PANEL-05,CH-AI-05,DP-05 JOUT.1 / JOUT.2,measurement panel J5I.1 / J5I.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,3000,3100,Phoenix 1757019,Phoenix 1757019 allocated by measurement-panel BOM,cut back and individually insulated both ends,EXACT CANDIDATE; ROUTE/BUILD/NOISE VALIDATION OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-TAIL-06,CH-AI-06,SR1:34 / SR1:A2,DP-06 JIN.1 / JIN.2,Alpha Wire 5610B2201; one shielded 22 AWG pair,INSTALL TO <=100 MM SOURCE-TO-FIRST-RESISTOR PATH,SELECTION REQUIRED AFTER SOURCE-TAP DESIGN,SELECTION REQUIRED,Phoenix 1757019,cut back and individually insulated both ends,SOURCE TERMINATION/LENGTH OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
