axis_id,inverse_peak_nm,current_endpoint_nm,endpoint_to_inverse_peak_ratio,state,warning
L_ANKLE_PITCH,6.378503,7.571049,1.186963,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
L_ANKLE_ROLL,0.205623,6.056839,29.456038,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
L_HIP_PITCH,11.451294,17.166669,1.499103,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
L_HIP_ROLL,12.742815,17.166668,1.347165,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
L_KNEE_PITCH,8.680924,10.729168,1.235948,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
R_ANKLE_PITCH,6.382011,7.571049,1.186311,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
R_ANKLE_ROLL,0.205740,6.056839,29.439287,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
R_HIP_PITCH,11.457730,17.166669,1.498261,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
R_HIP_ROLL,12.745182,17.166668,1.346914,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
R_KNEE_PITCH,8.685749,10.729168,1.235261,WITHIN LINEAR CURRENT ENDPOINT; CONTINUOUS CAPACITY OPEN,"PRELIMINARY - WHOLE-BODY CONTROL CANDIDATE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
