check_id,inspection_or_action,gate_id,recorded_value,performed_by,witness,timestamp,state,authority,warning
T01,"Record branch, commit, package manifests and software hashes",FER-G01,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T02,Record received serial/lot/revision for every energized assembly,FER-G01,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T03,"Inspect frame, covers, sharp edges and service access",FER-G02,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T04,Verify physical fall restraint independently supports the robot,FER-G02,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T05,Verify feet/support base and exclusion-zone dimensions,FER-G02,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T06,"Confirm enclosure, mains category and jurisdiction assumptions",FER-G03,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T07,Measure PE continuity to every exposed conductive part,FER-G03,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T08,"Verify exactly one controlled DC 0 V/PE bond, or record approved alternate",FER-G03,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T09,"Inspect external source, service disconnect and dual contactors",FER-G04,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T10,Confirm all energy storage is absent or discharged before passive checks,FER-G04,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T11,Record selected main and branch protection identifiers and ratings,FER-G05,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T12,"Review fault-current, cable, ambient, bundling, inrush and duty inputs",FER-G05,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T13,Inspect all 25 actuator power pairs against controlled contact maps,FER-G06,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
T14,Continuity-check every conductor and shield bond,FER-G06,NONE,UNASSIGNED,UNASSIGNED,NOT RECORDED,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
