gate_id,decision,state,required_evidence,warning
R266-G-01,Resolve exact XM540 -T/-R shipment identity,OPEN,accepted R257-RQ-01/02 response and received identity,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-02,Confirm allocation of all six exact articles,OPEN,dated cart or attributable seller allocation,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-03,Freeze seller and cart/quote identity,OPEN,dated ROBOTIS US cart or quote,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-04,"Close shipping, tax/exemption, fees and expiration",OPEN,complete landed-cost record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-05,Set numerical maximum spend,OPEN,signed program-owner value,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-06,Freeze exact Boston-area ship-to,OPEN,signed address record; repository copy may be redacted,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-07,Name adult receiving owner and quarantine location,OPEN,signed identity and location,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-08,Bind design baseline and exact line identities,PARTIALLY ADDRESSED - FORMAL ACCEPTANCE OPEN,accepted decision citing 94dc15fcbd5c82db29d265dcf2440e55398df536 and LOT-A-001..003,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-09,Accept no-substitution rule,OPEN,signed rejection of alternates without new review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-10,Limit scope to receipt and quarantine,OPEN,"signed scope excluding assembly, connection, power and use","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-11,Prepare serialized evidence storage,OPEN,controlled photo/label/packing/discrepancy locations,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R266-G-12,Name purchaser and payment authority,OPEN,signed adult identities and payment route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
