decision_id,affected_system,baseline_candidate,lightweight_candidate,mass_effect,engineering_hold,decision_state,authority
HR30-LW-001,torso frame,solid 18 x 18 mm rail envelopes,18 x 18 x 1.5 mm hollow rail envelopes plus a 2.0 mm-wall shoulder bridge; outer interfaces and joint datums retained,included in fabrication subtotal,"exact extrusion, local inserts, buckling, bilateral shoulder loads and received section open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-002,"limbs, pelvis and feet",solid plate and link envelopes,2.5 mm closed-perimeter windowed leg plates/ties and foot carriers plus 3.5 mm longitudinally slotted paired arm links; joint axes and outer module interfaces retained,included in fabrication subtotal; active tether-first mass changes with the generated CAD volume,"gait/fall/payload stress, stress concentration, fatigue, fasteners, edge finish, foot pressure distribution, DFM and proof loads open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-003,covers,2.4-3.0 mm shells and panels,0.8 mm thermoformed-polycarbonate or PA12 body/limb panels with unchanged outer interfaces; detailed hand parts retained,included in fabrication subtotal,"material/process, ribs, vents, retention, impact, pinch edges and print qualification open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-004,joint shafts,solid steel density-screen shafts,62%-diameter through-bored 7075-T6/T651 aluminum density-screen shafts,included in joint-hardware subtotal,"bearing seats, hardcoat/sleeves, wall stress, fatigue, fretting, retention and material selection open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-005,joint support,two external bearing carriers on every axis,actuator internal support plus one external carrier on direct axes; two external carriers retained on remote/reduced outputs,22 redundant direct-axis carrier solids removed,"actuator internal-load allowance, moment path, bearing life, stiffness and received fit open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-006,carrier plates and pulleys,solid four-hole slabs and annular pulley discs,closed carrier frames with cross webs and spoked rim/hub pulleys,included in joint-hardware subtotal,"web load path, belt tooth system, flange, balance, guard, DFM and proof testing open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-007,all external joint bearings,principal-dimension annulus treated as solid bearing steel,seven standard NSK/SKF catalogue candidates; 6901 leg and 6803 waist candidates reduce distal hardware mass,published catalogue mass replaces gross annulus density screen,"load direction, life, suffix, lubrication, fits, retention and received identity open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-008,"shoulder roll, wrists and ankles","165 g XM540 shoulder-pitch, 82 g XM430 shoulder-roll/elbows, 23 g XC330 wrists and 82 g XM430 ankles","82 g XM430 shoulder-roll, 23 g XC330 wrists and 82 g XM430 ankles with 2.0:1/2.5:1 reductions",published actuator masses included in whole-body subtotal,"continuous duty, belt capacity, contact loads, thermal behavior and physical correlation open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-009,leg transmissions,belt-path reference volumes with no carried belt mass,ten Gates 5MGT3 15 mm belt candidates carried at published catalogue mass,adds 0.148 kg of previously omitted transmission mass,"pulley capacity, custom manufacture, tension, alignment, guard, life and received mass open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-010,central and foot structure,"3 mm-wall shoulder bridge, 8 mm waist bridge and 4 mm foot carriers","2.5 mm-wall shoulder bridge, 6 mm windowed waist bridge and 3 mm foot carriers; joint datums and outer interfaces retained",included in fabrication subtotal,"local bosses, shoulder/waist/ankle load paths, buckling, fatigue, inserts, DFM and proof loads open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-011,ground-contact tread,two solid-envelope 4 mm TPU/rubber sole candidates at 0.060 kg each,two 2.5 mm replaceable patterned TPU/rubber tread candidates at 0.0375 kg each,reduces installed-equipment planning mass by 0.045 kg,"compound, tread pattern, friction, wear, bonding/retention, sensor isolation and received mass open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-TOTAL,whole robot identified candidate,commit dfb9a7d: 13.323984 kg gross identified / 16.675074 kg conservative dynamics,current: 10.990296 kg gross identified / 11.393618 kg conservative dynamics,gross identified reduction 2.333688 kg; dynamics reduction 5.281456 kg,"active tether-first candidate must remain at or below the authoritative 10 kg hard limit; the 8 kg target, received mass closure and every physical validation remain open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
