hold_id,hold,state,closure_evidence,warning
HOLD-01,"P0.2 CAM supplier/process acceptance, normalized XYRS, DFM and first article",OPEN,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-02,"Watchdog PCB-P1.0 supplier-normalized manufacturing package, provider/process acceptance and first article",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-03,"E2 received physical configuration, continuity/isolation/no-backfeed evidence and four-role authorization",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-04,"Limiter-carrier provider, process, stackup acceptance and first article",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-05,Carrier input-harness source-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-06,Carrier output-harness star-side terminals and exact cut lengths,SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-07,"Received panel, board, standoff, screw and connector fit",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-08,"Branch protection current-limit, reverse-energy, transient, thermal and fault characterization",NOT EXECUTED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-09,"Complete configuration review by qualified electrical, mechanical and functional-safety reviewers",SELECTION REQUIRED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-10,Separate written work authorization for each physical stage,NOT AUTHORIZED,"controlled record with exact article identity, method, result, reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-11,Independent P1.15-to-P1.17 core-parity and P0.5 integration review,SELECTION REQUIRED,qualified review disposition tied to exact commit and native sources,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-12,Raspberry Pi 5/RP1 GPIO and 3V3 loading acceptance plus STANDBY/ramp/brownout evidence,SELECTION REQUIRED,manufacturer disposition and controlled physical measurements,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-13,"P0.5 fabricator/assembler DFM, received identity, first article and fault/thermal/EMC evidence",NOT EXECUTED,"provider responses, inspection records and controlled test evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-14,"Observation field and compute harness exact cut lengths, routing, termination and continuity/pull evidence",SELECTION REQUIRED,"as-built route survey, released drawings and signed physical records","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-15,"Observation assemblies, quantities and exact mounting candidates are integrated through BOM-108; procurement, received fit, cuts/routes and physical closure remain",PARTIALLY ADDRESSED - OPEN,HR-V0-OBS-MOUNT-STACK-P0.1; current orderability; received no-strain fit; released drilling/cut/termination schedules; torque/load/thermal/creep evidence; qualified acceptance,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-16,Independent qualified review of exact five-file P0.8 arm integration,SELECTION REQUIRED,"signed disposition tied to exact commit, binding hashes, assembly hash and checker results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-17,"Mechanical provider DFM, material/MTR and first-article inspection for C01/C04/C05/C06/C07",NOT EXECUTED,"provider response, received identities, material records and completed FAI traveler","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-18,"As-built arm fit, mass/inertia, structural proof, collision, stop, cable and guard validation",NOT EXECUTED,controlled physical test records and qualified acceptance against exact articles,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-19,Physical/HIL mechanical acceptance hash for the source-bound integrated P0.8/P0.3 candidate,NOT EXECUTED,"accepted as-built, calibration, hard-stop, stopping, backlash/compliance/tolerance and guarded-HIL evidence with immutable SHA-256; qualified approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-20,Independent P1.18 point-to-point topology and P1.15 logic-parity disposition,SELECTION REQUIRED,signed review against exact native source/netlist/schedules,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-21,Received enclosure/backplate/node/rail/duct dimensional reconciliation,NOT EXECUTED,received identities and accepted measurements in the controlled frame,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-22,"DR5/WD4 kerf, tolerance, cut, deburr, coating, hole, fastener and bonding release",DESIGN REQUIRED,qualified manufacturing/electrical disposition and released drawings,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-23,"Exact node accessories, markers, partitions/covers, rail retention and access",SELECTION REQUIRED,accepted complete accessory BOM and received-fit evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-24,"Exact conductor entry points, routes, cut lengths, door loom and end preparations",DESIGN REQUIRED,released route/cut/termination schedule with calculations and samples,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-25,"Duct fill, separation, loading, protection, thermal and fault closure",NOT EXECUTED,accepted calculations plus calibrated physical evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-26,Installed point-to-point and qualified electrical/functional-safety acceptance,NOT EXECUTED,"signed as-built inspection, test and review records","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-27,WD5/WD2 exact junction and accessory application,SELECTION REQUIRED,manufacturer or qualified accepted junction drawing,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-28,WD5 conductor/fill/thermal and adjacency closure,NOT EXECUTED,accepted calculations and physical inspection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
