acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
R278-ACC-01,Qualified reviewer accepts the exact-normal coordinate transforms and sign conventions against the P0.13 assembly,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-02,"Mesh refinement/local stress convergence is demonstrated at the pocket edges, rail roots and restrained holes",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-03,"Nonlinear one-rail and two-rail C06/C07 contact includes edge contact, pad compression, metal backup, friction, tolerance and first-contact mismatch",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-04,"A04 and frame/extrusion joined-load model includes exact received hardware, preload, slip, bearing, prying, separation and flexibility",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-05,"Received 6061-T651 lot, MTR, orientation, machining effects, surface condition and qualified allowables/factors are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-06,"Accepted inertia, approach/fault speed, motor-current/torque decay, force-stroke and event spectrum drive an energy-based transient analysis",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-07,"Deflection, overtravel, rebound, fatigue, damage and stopping-time/angle acceptance limits are allocated and verified",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-08,"Pad-absent, one-pad, bottom-out and pad-migration fault cases correlate to guarded physical force/strain/angle/current tests",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-09,"P0.13 DFM, dependent pocket depth, inspection, mass/COM and guard/cable envelopes are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-ACC-10,"Configuration-bound qualified release and separate fabrication, assembly and powered-work authorities are signed",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
