interface_id,scope,controlled_value,state,evidence_needed,gate,warning
CPI-001,Pi identity,"Raspberry Pi 5 8GB unit only SC1112",EXACT_CANDIDATE,"Received markings packing record board revision and memory verification",EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-002,PSU identity,"Raspberry Pi 27W USB-C Power Supply US Type A black SC1158",EXACT_CANDIDATE,"Received markings plug color cable and packing record",EG-003;EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-003,Compute input,"5 V / 5 A USB-C PD candidate",PARTIAL,"Received negotiated profile input waveform and exact installed load",EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-004,Cooling,SELECTION REQUIRED,OPEN,"Exact active cooler or case/fan thermal solution installed clearance airflow and thermal test",EG-003;EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-005,Storage,SELECTION REQUIRED,OPEN,"Exact media order code capacity endurance retention and receiving evidence",EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-006,System image,SELECTION REQUIRED,OPEN,"Pinned Raspberry Pi OS image version source hash packages configuration and reproducible image procedure",EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-007,USB-C retention,SELECTION REQUIRED,OPEN,"Installed cable route bend radius strain relief connector retention service access and pull evidence",EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-008,Heartbeat harness,SELECTION REQUIRED,OPEN,"Exact header and JWH1 contacts housings conductors length drawing assembly retention and continuity",EG-003;EG-012,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-009,Runtime and startup,SELECTION REQUIRED,OPEN,"GPIO backend permissions overlay conflict boot shutdown crash brownout and inactive-until-control evidence",EG-012;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-010,Electrical and thermal application,SELECTION REQUIRED,OPEN,"Startup inrush steady and peak load brownout recovery USB PD waveform temperatures ambient airflow and abnormal-condition evidence",EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-011,Ground/reference behavior,SELECTION REQUIRED,OPEN,"Received USB shell return case rail and frame continuity plus accepted grounding/EMC disposition",EG-016,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPI-012,Qualified review,SELECTION REQUIRED,OPEN,"Signed electrical controls configuration and applicable safety review with zero heartbeat safety credit preserved",EG-002;EG-010;EG-012,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
