interface_id,scope,controlled_value,state,evidence_needed,gate,warning
CPSI-001,Pi identity,Raspberry Pi 5 8GB unit only SC1112,EXACT_CANDIDATE,"Received markings board revision memory and purchase trace",EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-002,Compute PSU identity,Raspberry Pi 27W USB-C Power Supply US Type A black SC1158,EXACT_CANDIDATE,"Received label plug cable and purchase trace",EG-003;EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-003,Cooler identity,Raspberry Pi Active Cooler for Pi 5 SC1148,EXACT_CANDIDATE,"Received packaging product markings push pins pads fan cable and purchase trace",EG-003;EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-004,Storage product,Raspberry Pi SD Card 64GB unprogrammed preferred branch,PARTIAL,"Unambiguous exact order code approved seller trace received capacity markings and endurance evidence",EG-003,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-005,OS image,"Raspberry Pi OS Lite 64-bit 2026-06-18; published SHA-256 acff736ca7945e3b305f07cda4abdb870910e12634991da69783611756e381b3",PINNED_NOT_EXECUTED,"Controlled download local hash write readback boot package manifest and signed disposition",EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-006,Pi reference envelope,"Approximate 85 x 56 mm manufacturer drawing; reference only",PARTIAL,"Received board metrology connector keepouts tolerance and released tray drawing",EG-005,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-007,Cooler reference envelope,"Approximate 63.50 x 42.50 x 13.70 mm manufacturer drawing; reference only",PARTIAL,"Received cooler metrology moving-fan and hot-surface clearance plus released ventilation envelope",EG-005;EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-008,Fan electrical interface,"5 V from Pi 5 four-pin FAN header with PWM and tachometer",PARTIAL,"Received connector orientation continuity no-damage inspection current waveform and startup behavior",EG-010;EG-015,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-009,Installed compute load,SELECTION REQUIRED,OPEN,"Measured PSU negotiation startup steady peak fan USB and fault current with margin and brownout recovery",EG-010,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-010,Thermal acceptance,SELECTION REQUIRED,OPEN,"Released ambient duty airflow obstruction sensor locations temperature limits throttling and abnormal-fan test",EG-010;EG-027,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-011,Mounting tray and standoffs,SELECTION REQUIRED,OPEN,"Exact material order codes hole pattern tolerances standoff stack fasteners torque insulation and FAI",EG-005;EG-006,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-012,Control enclosure allocation,SELECTION REQUIRED,OPEN,"Exact enclosure panel location ventilation access segregation and qualified electrical review",EG-005;EG-010;EG-016,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-013,USB-C retention,SELECTION REQUIRED,OPEN,"Cable bend radius clamp/strain-relief service access pull test and connector-load acceptance",EG-010;EG-015,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-014,U2D2 USB interface,SELECTION REQUIRED,OPEN,"Exact cable revision length shielding connector retention enumeration disconnect and fault evidence",EG-015;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-015,Filesystem write policy,SELECTION REQUIRED,OPEN,"Exact writable paths logs overlay/read-only decision graceful shutdown corruption recovery and endurance test",EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-016,Update and rollback,SELECTION REQUIRED,OPEN,"Signed image promotion rollback offline recovery vulnerability response and configuration-drift procedure",EG-002;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-017,Heartbeat runtime,SELECTION REQUIRED,OPEN,"GPIO backend boot inactive state timing jitter crash brownout restart no-back-power and HIL evidence; zero safety credit",EG-012;EG-017,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
CPSI-018,Grounding EMC and review,SELECTION REQUIRED,OPEN,"USB shell compute return tray/enclosure relationship shield route emissions/immunity disposition and signed qualified review",EG-016;EG-022,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
