reference,terminal,function,net,kind,state,warning
JPI1,1,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,2,5V - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,3,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,4,5V - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,5,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,6,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,7,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,8,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,9,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,10,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,11,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,12,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,13,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,14,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,15,GPIO22 / SR1 diagnostic,OBS_SR1_PI,INPUT,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,16,GPIO23 / SRA1 diagnostic,OBS_SRA1_PI,INPUT,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,17,3V3 source candidate,PI_3V3_CANDIDATE,POWER,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,18,GPIO24 / K1 diagnostic,OBS_K1_PI,INPUT,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,19,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,20,compute return,COMPUTE_0V,RETURN,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,21,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,22,GPIO25 / K2 diagnostic,OBS_K2_PI,INPUT,IMPLEMENTED - CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,23,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,24,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,25,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,26,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,27,ID - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,28,ID - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,29,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,30,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,31,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,32,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,33,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,34,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,35,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,36,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,37,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,38,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,39,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JPI1,40,UNALLOCATED - NO COPPER,NO_NET,UNUSED,INTENTIONALLY NO NET OR COPPER,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JOBS1,1,3V3 source candidate,PI_3V3_CANDIDATE,POWER,MATES JLOGIC1.1; HARNESS HELD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
