sequence_id,bus_id,axis_count,axes,sample_count,peak_current_equivalent_a,p95_current_equivalent_a,rms_current_equivalent_a,mean_current_equivalent_a,candidate_internal_cap_sum_a,active_grip_included,released_normal_demand,thermal_rating_credit,warning
WS-L01,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,537,0.337670881,0.328982630,0.211898317,0.194443968,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,537,0.262257731,0.249511737,0.162153238,0.154763064,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,1074,0.337670881,0.320186999,0.188672427,0.174603516,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,537,7.033315566,5.611909753,3.419566241,2.673750782,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,537,6.039061646,5.948604318,4.906964680,4.752793761,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,1074,7.033315566,5.940250465,4.229168692,3.713272272,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,537,0.256370374,0.243600539,0.156313314,0.148605473,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,537,0.331537797,0.322851338,0.206294591,0.188288135,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,1074,0.331537797,0.314072027,0.183018182,0.168446804,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-RLEG,6,R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH,537,6.042345680,5.951798793,4.909754283,4.755521530,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
