hole_id,part,interface,x_mm,y_mm,z_mm,diameter_or_thread,source,status
K2-11--1-1,FAB-REC-004,TWA-01-20 K2,-95.000,-376.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-11--1+1,FAB-REC-004,TWA-01-20 K2,-95.000,-376.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-11-+1-1,FAB-REC-004,TWA-01-20 K2,-95.000,-323.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-11-+1+1,FAB-REC-004,TWA-01-20 K2,-95.000,-323.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
PLATEN-11--1,FAB-REC-001 + FAB-REC-004,platen attachment,-80.000,-375.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
PLATEN-11-+1,FAB-REC-001 + FAB-REC-004,platen attachment,-80.000,-325.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
K2-12--1-1,FAB-REC-004,TWA-01-20 K2,-95.000,323.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-12--1+1,FAB-REC-004,TWA-01-20 K2,-95.000,323.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-12-+1-1,FAB-REC-004,TWA-01-20 K2,-95.000,376.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-12-+1+1,FAB-REC-004,TWA-01-20 K2,-95.000,376.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
PLATEN-12--1,FAB-REC-001 + FAB-REC-004,platen attachment,-80.000,325.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
PLATEN-12-+1,FAB-REC-001 + FAB-REC-004,platen attachment,-80.000,375.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
K2-21--1-1,FAB-REC-004,TWA-01-20 K2,95.000,-376.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-21--1+1,FAB-REC-004,TWA-01-20 K2,95.000,-376.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-21-+1-1,FAB-REC-004,TWA-01-20 K2,95.000,-323.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-21-+1+1,FAB-REC-004,TWA-01-20 K2,95.000,-323.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
PLATEN-21--1,FAB-REC-001 + FAB-REC-004,platen attachment,80.000,-375.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
PLATEN-21-+1,FAB-REC-001 + FAB-REC-004,platen attachment,80.000,-325.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
K2-22--1-1,FAB-REC-004,TWA-01-20 K2,95.000,323.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-22--1+1,FAB-REC-004,TWA-01-20 K2,95.000,323.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-22-+1-1,FAB-REC-004,TWA-01-20 K2,95.000,376.500,243.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
K2-22-+1+1,FAB-REC-004,TWA-01-20 K2,95.000,376.500,283.625,SELECTION REQUIRED - mating thread M6 only,53 x 40 catalog pattern,CENTER CANDIDATE; NOT RELEASED
PLATEN-22--1,FAB-REC-001 + FAB-REC-004,platen attachment,80.000,325.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
PLATEN-22-+1,FAB-REC-001 + FAB-REC-004,platen attachment,80.000,375.000,304.125,SELECTION REQUIRED,R130 project coordinate candidate,CENTER CANDIDATE; FASTENER/EDGE/LOAD PROOF OPEN
