legacy_endpoint_id,sheet,reference,terminal,net,physical_wire_id,wire_end,mapping_state,warning
W2001,02_estop_eligibility.kicad_sch,S0,R-1,SR1_S11,P2P-006,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2002,02_estop_eligibility.kicad_sch,S0,L-1,SR1_S21,P2P-007,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2003,02_estop_eligibility.kicad_sch,S0,R-2,SR1_S12,P2P-016,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2004,02_estop_eligibility.kicad_sch,S0,L-2,SR1_S22,P2P-008,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2005,02_estop_eligibility.kicad_sch,SR1,A1,SR1_A1_WD_GATED,P2P-005,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2006,02_estop_eligibility.kicad_sch,SR1,A2,SAFETY_0V,P2P-049,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2007,02_estop_eligibility.kicad_sch,SR1,S11,SR1_S11,P2P-006,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2008,02_estop_eligibility.kicad_sch,SR1,S12,SR1_S12,P2P-017,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2009,02_estop_eligibility.kicad_sch,SR1,S21,SR1_S21,P2P-007,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2010,02_estop_eligibility.kicad_sch,SR1,S22,SR1_S22,P2P-008,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
