source_id,manufacturer,document,url,revision_or_access_date,verified_scope,system_suitability_verified,warning
SRC-01,NI,cDAQ-9174 product page and specifications 374045A,https://www.ni.com/en/shop/hardware/compactdaq-chassis/model-cdaq-9174,live product page + official specification PDF; accessed 2026-08-18,part 781157-01; 4 slots; timing; power; dimensions,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-02,NI,NI-9229 product page and datasheet 374184C-02,https://www.ni.com/en/shop/hardware/voltage/model-ni-9229,live product page + official datasheet; accessed 2026-08-18,part 779785-01; 4 simultaneous +/-60 V channels; 50 kS/s/ch; isolation,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-03,NI,NI-9211 product page and datasheet 373466A-02,https://www.ni.com/en-il/shop/model/ni-9211.html,live product page + official datasheet; accessed 2026-08-18,part 779001-01; 4 thermocouple channels; calibration interval 1 year,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-04,NI,NI-9401 product page and specifications updated 2024-11-05,https://www.ni.com/docs/en-US/bundle/ni-9401-specs/page/specs.html,official live documentation; accessed 2026-08-18,8 TTL DIO; 5.25 V max normal input; no channel-to-channel isolation,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-05,Tektronix,TCP0150 datasheet 51W-20815-7,https://download.tek.com/datasheet/TCP0150-Datasheet_51W208157.pdf,released 2023-02-06; accessed 2026-08-18,25/150 A ranges; 150 A RMS; 500 A pulse; DC-20 MHz; TekVPI,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-06,Tektronix,current-probe compatibility page,https://www.tek.com/en/products/oscilloscopes/oscilloscope-probes/current-probes,live official page; accessed 2026-08-18,3 Series MDO listed fully compatible with TCP0150,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-07,Fluke,87V MAX product page,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/87v-max,live official page; accessed 2026-08-18,87V MAX CAL part 5206068; DMM ranges and accuracy,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-08,Teledyne FLIR,E8 Pro product page,https://www.flir.com/products/e8-pro,live official page; accessed 2026-08-18,320 x 240 IR; 9 Hz; accuracy/range/environment,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-09,Mean Well,RSP-500 specification,https://www.meanwell.com/Upload/PDF/RSP-500/RSP-500-SPEC.PDF,current official PDF linked by project; accessed 2026-08-18,RSP-500-12 12 V/41.7 A and 10-13.2 V adjustment domain,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-10,ROBOTIS,XC330-T288 official docs,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,live official docs; accessed 2026-08-18,6.5-12.0 V actuator operating range,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SRC-11,Pololu,S18V20F9 item 2576 product page,https://www.pololu.com/product/2576,live official page; accessed 2026-08-18,9 V regulator candidate identity; installed validation remains open,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
