item,quantity,manufacturer,order_code,description,disposition,authority
CS-01,1,Keysight,E36313A,triple-output bench supply; use output 2 or 3 only,EVALUATION CANDIDATE; CHECK MAKERSPACE AVAILABILITY,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-02,1,ROBOTIS,902-0132-000,U2D2 USB interface; received USB revision inspection required,CANDIDATE,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-03,1,ROBOTIS,902-0145-001,U2D2 Power Hub Board Set,CANDIDATE,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-04,1,ROBOTIS,903-0244-000,X4P 180 mm cable; package contains 10,CANDIDATE,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-05,1,ROBOTIS,903-0249-000,X3P 180 mm cable; package contains 10,CANDIDATE,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-06,1,Molex,39-01-2020,two-circuit Mini-Fit Jr receptacle housing,CANDIDATE,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-07,2,Molex,39-00-0038,female Mini-Fit Jr crimp contact for 18 AWG lead,CANDIDATE; CRIMP VALIDATION OPEN,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-08,1,Mueller Electric,BU-0061-M-39-2,red 39 inch manufacturer-assembled shrouded-banana to tin-dipped 18 AWG silicone lead,CANDIDATE; RECEIPT/OPEN-END PREPARATION/CRIMP VALIDATION OPEN,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-09,1,Mueller Electric,BU-0061-M-39-0,black 39 inch manufacturer-assembled shrouded-banana to tin-dipped 18 AWG silicone lead,CANDIDATE; RECEIPT/OPEN-END PREPARATION/CRIMP VALIDATION OPEN,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CS-10,1,PROJECT BUTTON,PRINT FROM INCLUDED STL,universal insulated tray and transparent cover,FABRICATION CANDIDATE; RECEIPT FIT CHECK OPEN,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
