j2_deg,known_subset_gravity_torque_nm,reference_allocated_gravity_torque_nm,reference_absolute_torque_nm,status
15.00,0.083641965,0.483257699,0.483257699,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
15.25,0.083574844,0.482815694,0.482815694,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
15.50,0.083506132,0.482364496,0.482364496,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
15.75,0.083435830,0.481904115,0.481904115,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
16.00,0.083363939,0.481434559,0.481434559,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
16.25,0.083290461,0.480955838,0.480955838,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
16.50,0.083215398,0.480467959,0.480467959,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
16.75,0.083138750,0.479970933,0.479970933,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
17.00,0.083060519,0.479464770,0.479464770,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
17.25,0.082980707,0.478949478,0.478949478,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
17.50,0.082899315,0.478425067,0.478425067,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
17.75,0.082816345,0.477891548,0.477891548,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
18.00,0.082731798,0.477348930,0.477348930,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
18.25,0.082645676,0.476797225,0.476797225,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
18.50,0.082557981,0.476236442,0.476236442,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
18.75,0.082468713,0.475666592,0.475666592,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
19.00,0.082377876,0.475087686,0.475087686,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
19.25,0.082285471,0.474499735,0.474499735,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
19.50,0.082191498,0.473902750,0.473902750,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
19.75,0.082095961,0.473296743,0.473296743,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
20.00,0.081998861,0.472681725,0.472681725,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
20.25,0.081900200,0.472057708,0.472057708,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
20.50,0.081799980,0.471424703,0.471424703,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
20.75,0.081698202,0.470782724,0.470782724,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
21.00,0.081594869,0.470131781,0.470131781,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
21.25,0.081489982,0.469471888,0.469471888,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
21.50,0.081383544,0.468803056,0.468803056,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
21.75,0.081275556,0.468125299,0.468125299,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
22.00,0.081166021,0.467438630,0.467438630,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
22.25,0.081054941,0.466743062,0.466743062,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
22.50,0.080942318,0.466038607,0.466038607,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
22.75,0.080828154,0.465325279,0.465325279,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
23.00,0.080712450,0.464603093,0.464603093,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
