ccf_id,common_cause_group,affected_boundary,mechanism,required_measure,accepted_fault_exclusion,status,warning
CCF-001,WDCTRL1 firmware/clock/reset,both drive channels,shared controller can sustain both outputs,assume both diagnostic channels failed; zero credit,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-002,SAFETY_24V/SAFETY_0V,"KWD coils, drivers, feedback, SR1/SRA1",shared rails couple ordinary and credited boundaries,brownout/fault study plus qualified allocation,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-003,DC1 WD_5V/WD_3V3,"controller, optocoupler receiver, drivers",rail fault can create correlated outputs,fault injection and no-back-power validation,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-004,PCB-P0.5,both drivers and feedback channels,"same two-layer board, contamination and assembly process",layout/workmanship/cleanliness review; no fault exclusion yet,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-005,JWP1 four-position connector,power and both coil sinks,adjacent pins and one removable body,"keying, ferrules, strain relief, short test and inspection",NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-006,JWF1 two-position connector,both energized feedback inputs,adjacent channels share body,short/cross test and protection evidence,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-007,KWD1/KWD2 adjacent DIN modules,both safety-input returns and feedback,"common contamination, miswire, service action or bridge",barrier/routing/terminal-cover decision and physical inspection,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-008,panel wire duct,"E-stop returns, RESET/ARM/EDM and ordinary conductors",routing not released; loose strand/abrasion can bridge,separate routes or accepted protected-wiring analysis,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-009,external 24 V adapter/F24,all control and safety logic,single source/foldback/recovery affects all channels,source/protection/brownout characterization,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-010,debug/programming fixture,"WDCTRL1, shared 0 V and test points",fixture can back-power or bridge nets,unpowered current-limited keyed fixture and inspection,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-011,configuration/workmanship,entire watchdog and safety interface,"wrong revision, swapped channels or mirrored terminal map","manifest, two-person point-to-point and received mapping",NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CCF-012,environment/enclosure,all panel channels,"temperature, condensation, swarf, vibration and loose hardware",exact site/enclosure/environment limits and validation,NONE,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
