relative_path,sha256,bytes,warning
analysis-status.json,fffc0c025e6c618c907fb2ff1a88997df3a22306fc91f356f4bdc2129b8bd0a7,1515,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
execution-provenance.json,c43158e2274580a134f906b718116be3b5c45d53dd667c2c1e9ed06093174a69,2479,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
fresh-process-register.csv,28e45a82519e1c7e7ebd19351da9551f15e2948c5ff819cb2c256c7f8a01968a,596,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
frozen-protocol.json,18ce43a3f68bd31caf38eeaf5365957ae74fa35ea7f47a2742b9636f63a545c5,1996,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
global-sicn-histogram.csv,c02266a0c839503ad275968fe4e0402cd3c5b0e6c8f0a208854b050cd9b04fea,7019,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
independent-jacobian-register.csv,b8df14e8fc8f83cc51feb7f43fe001254174fe60a996644782eeddd6bd477ed2,4100,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
README.md,8c5a668b9fc26191d43f5646e75db268d42951a53d7b600f40e1293ac8109042,707,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
repeatability-register.csv,3fe7b2aaa3ead6f4331aea328c6873988d0bd06480e242401614b28ff7534f0a,8324,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/analysis-status.json,4122910c06e256692ebbd534e43b7f1df347ffa11a84c832d5b406a913219e30,687,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/corner-bijection-r285-confirmatory-targeted-v06-p01.csv,da1546e8b545b568b3fb8a2f31b29ccdc85573723b46b399d06e61b76aeceabb,7363627,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/edge-map-r285-confirmatory-targeted-v06-p01.csv,851e559da964162d2a4f1ed8b344b89aabfa1cd2f633474af42ad98286d4d0c1,37965641,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/element-corner-identity-r285-confirmatory-targeted-v06-p01.csv,ea0c944b1fc272dcf539159f0c8b3fb31d340f04ec7102e471cf2902ab814402,24676508,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/exact-target-entity-register.csv,88bf370220230783bf16c893c5fba45bd072d97efd780dd430a0f024a5d3d947,29277,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/jacobian-screen-register.csv,712465dcc3502e9817c77105a5fa84349763a9217a4c4c40691fff8137f78645,2002,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/occ-corner-membership-r285-confirmatory-targeted-v06-p01.csv,b40ad5cde191810cad3bf527ac379dd87a9723bf06d301146e0b30a1e7e123c4,1463,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/raw-r285-confirmatory-targeted-v06-p01.npz,7aaf6cbe3ffd139d7ae9836fd76249f4df892775a03085fb3f0421f355ad3eed,8154997,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/runtime-provenance.json,17742ced69372c0d7907120981de5e7c0b3281e4aaf45d659a1b111d470aecc5,1426,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
run-a/variant-register.csv,af1067c11e2c71076f37862f788c80c96a2c2e85d9d72e1445571aec312e77da,3223,"PRELIMINARY - TARGETED CURVED-MESH METHOD EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
