hold_id,scope,state,closure_evidence,warning
R261-H01,received endpoint placement and route,PHYSICAL EVIDENCE REQUIRED,"received U2D2 and star-carrier connector datums, route, clearances, support and service-loop acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H02,finished length,PHYSICAL EVIDENCE REQUIRED,500 +/- 5 mm candidate passes received route and does not load connectors,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H03,raw cut and process allowance,SELECTION REQUIRED,"official contact-processing data, accepted crimp coupons and first-article trim/twist record","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H04,crimp tool/process and inspection,SELECTION REQUIRED,"received YRS-260 identity/calibration, official crimp limits, accepted section/visual/pull evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H05,wire orderability and received identity,PHYSICAL EVIDENCE REQUIRED,"3051 BK005/WH005 received lot, construction, OD, DCR and compatibility evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H06,housing/contact received identity,PHYSICAL EVIDENCE REQUIRED,"EHR-3 and SEH-001T-P0.6 lot, dimensions, orientation and retention evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H07,continuity/isolation and pin-2 omission,TEST REQUIRED,completed unpowered matrix with accepted limits and independent review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H08,no-backfeed,TEST REQUIRED,all accepted source-off/on combinations prove no unintended U2D2 VDD/USB energy path,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H09,signal integrity,TEST REQUIRED,waveform and error-rate evidence at selected DXL rates and worst actuator-current transients,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H10,routing separation and strain relief,PHYSICAL EVIDENCE REQUIRED,"as-built photos/measurements show accepted bend radius, separation, support and connector load","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H11,label and as-built record,SELECTION REQUIRED,"selected label material, both-end identification and signed as-built pin/length record","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-H12,qualified review and work authority,NOT EXECUTED,qualified electrical/controls disposition and separate written authorization for each physical stage,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
