region,j1_deg,j2_internal_deg,broadphase_pairs_requiring_boolean,colliding_pairs,sampled_pairwise_intersection_mm3,result,scope
J2_MIN_REGION,-25.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-24.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-24.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-23.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-23.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-22.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-22.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-21.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-21.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-20.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-20.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-19.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-19.0,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
J2_MIN_REGION,-18.5,10.0,0,,0.000000,PASS_NOMINAL,"P0.7 nominal rigid bodies only; intentional frame and C06/C07 positive-stop interfaces excluded; cables, guards, tolerances, compliance, deformation and proposed stop hardware excluded"
