item_id,dynamic_link,removed_planning_mass_kg,reason,warning
ACT-L_HIP_ROLL,L_hip_roll_link,0.165000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
ACT-L_HIP_PITCH,L_thigh,0.165000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
ACT-R_HIP_ROLL,R_hip_roll_link,0.165000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
ACT-R_HIP_PITCH,R_thigh,0.165000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_OUTPUT_SHAFT,L_hip_roll_link,0.014477348,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_BEARING_A_RING,L_hip_roll_link,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_INTERFACE_PLATE_A,L_hip_roll_link,0.035093504,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_BEARING_B_RING,L_hip_roll_link,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_INTERFACE_PLATE_B,L_hip_roll_link,0.035093504,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_ROLL_OUTPUT_PULLEY,L_hip_roll_link,0.044593225,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
