measurement_id,measurement,unit,acceptance_limit,instrument_id,measured_value,evidence_path,state,authority,warning
M01,PE continuity,ohm,SELECTION REQUIRED - jurisdiction/enclosure/reviewer,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M02,power-to-frame insulation,Mohm,SELECTION REQUIRED - equipment and circuit category,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M03,branch-to-branch insulation,Mohm,SELECTION REQUIRED - equipment and circuit category,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M04,DC 0 V/PE bond resistance and location,ohm,SELECTION REQUIRED - approved grounding scheme,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M05,available source fault current,A,SELECTION REQUIRED - source/impedance/test method,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M06,contactor drop-out time,ms,SELECTION REQUIRED - stopping-time allocation,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M07,watchdog permit drop time,ms,SELECTION REQUIRED - safety requirements specification,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M08,logic-only source current,A,SELECTION REQUIRED - frozen as-built load,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M09,PDU one-branch current and voltage drop,A/V,SELECTION REQUIRED - branch device/protection,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
M10,first rail current/voltage/temperature observation,A/V/degC,SELECTION REQUIRED - qualified test plan,UNASSIGNED,NONE,NONE,OPEN - NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
