record_id,common_cause,credible_effect,required_evidence,current_disposition,qualified_review_state,warning
SRS-CCF-001,shared 24 V control supply,"Loss, undervoltage, surge or common recovery affects both channels/final elements","Power-fault analysis, brownout test, separation and protection evidence",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-002,common enclosure and contamination,"Conductive debris, moisture or damage bridges separated circuits","Enclosure rating, spacing/routing inspection and contamination fault analysis",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-003,E-stop channel cable,Cross-short or common mechanical damage defeats both channels,"Cable/routing selection, protected separation and injected-fault validation",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-004,RESET/ARM wiring,Short or held input creates unintended start sequence,"Protected routing, monitored waveform and fault injection",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-005,K1/K2 coil control,"Shared driver, trace, supply or bridge commands both coils","Physical PCB/harness review, driver-fault analysis and tests",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-006,K1/K2 power path,Miswiring or conductor bridge bypasses series interruption,"Point-to-point inspection, isolation test and controlled fault injection",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-007,feedback/EDM path,Welded or bridged mirror feedback masks final-element failure,"Exact contact classification, routing analysis and discrepancy tests",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-008,coil suppression,Suppression or stored energy delays both contactors,Exact suppression topology and loaded release-time measurement,OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-009,actuator regeneration and rail storage,Rail remains torque-capable after contacts open,Loaded rail-decay/regeneration traces and discharge disposition,OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-010,software and stale commands,Common software recovers into a prior target,Fresh-trajectory authority protocol and HIL/physical traces,OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-011,mechanical hard-stop/guard dependence,"Tolerance, rebound or guard deformation defeats containment","FAI, impact/drop, uncertainty and retained inspection evidence",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-CCF-012,maintenance/debug bypass,"Temporary jumper, service mode or test lead defeats a protective path","Key control, inspection checklist, configuration audit and removal verification",OPEN - NO EXCLUSION OR SAFETY CREDIT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
