source_id,path,sha256,role,warning
FER-S01,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/controller-status.json,4019000354cc6233c5ff1f92f8d19e8eac828eadc990a5fbf4ddb19f5a295819,motion controller native ECAD status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S02,hr30/whole-body-p0.1/electrical/carriers-p0.1/carrier-status.json,d67f479e4b022446c762fbd74a0ade85cf0f386c806305cb944886a353501908,actuator interface carrier native ECAD status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S03,hr30/whole-body-p0.1/electrical/actuator-branch-pdu-p0.1/pdu-status.json,efb56e174855b7de770913b72c2023d04e5827451e35f5dd813db9ebb66acb73,25-channel actuator PDU native ECAD status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S04,hr30/whole-body-p0.1/energy-safety-spine-p0.1/energy-safety-status.json,3d01df3f2e1a56435fd5c4c42f2204d0465bf826cb9d1189d1267d591271b8da,energy and safety architecture status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S05,hr30/whole-body-p0.1/electrical/tether-power-core-p0.1/power-core-status.json,7e1ffce5bf52a7b51c39aa128d8238bda6fe05b488ff335d78af2f357d28ba96,external tether power core status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S06,hr30/whole-body-p0.1/harness/physical-p0.1/physical-harness-status.json,567eeb71782d4f0f72a9299b6b515695775d9b4627528fa3af6abf72cb41b360,whole-robot physical harness status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S07,hr30/whole-body-p0.1/harness/head-hmi-harness-p0.1/head-hmi-status.json,80d0737e24d9fa927a6cb67ea10040657609686e309a33519735a58a347b7537,physical head HMI harness candidate status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S08,hr30/whole-body-p0.1/harness/current-policy-binding-p0.1/status.json,f290a51925b4fe1ff2049a99a5d93f1418d6936d9afb3bba1d616066af8c8970,25-axis harness/current policy status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S09,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/actuator-cable-kit-status.json,613e0d2a479c5c4a278d8dc45ecd6c2c0eff4b1a4a4f15be44ad0c505427afea,25-axis actuator cable-kit status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S10,hr30/whole-body-p0.1/harness/actuator-transition-brackets-p0.1/bracket-status.json,a5006722fd927d137892c7cef97753efd922d50d10a294014c8eed1604c8c232,25-axis fixed-transition bracket CAD status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S11,hr30/whole-body-p0.1/harness/actuator-cable-coupon-p0.1/coupon-status.json,ffbd4e7ae8d02bc4b682d6e63d3d1fec46ae89cc7651b9a4c247035cdd034327,actuator cable coupon and as-built route-measurement status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S12,hr30/whole-body-p0.1/electrical/axis-commissioning-station-p0.1/commissioning-status.json,f418ff9e2114bbc0ca2012a5c7e4adff81d3679c02c386913ae6ea0fe0ce45ed,one-axis commissioning station status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S13,hr30/whole-body-p0.1/electrical/axis-commissioning-station-p0.1/bench-harness-p0.1/harness-status.json,15ab8d5c134db56aeec4c653f364ffdc8c909206db2734284ff9d93fb65122c4,bench harness status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S14,hr30/whole-body-p0.1/electrical/axis-commissioning-station-p0.1/no-motion-inspection-p0.1/inspection-status.json,901ead069f37293954e43218427c27cf1bd64c21a280e4c5f9a624e8c11b65af,torque-disabled inspection fixture status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S15,hr30/whole-body-p0.1/electrical/kicad/hr30-whole-body-electrical-p0.1/electrical-status.json,a7264ce1b4595db5119b873c0153a18854b2b0574cc62bb30d703ab76e5b3079,whole-body logical ECAD status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S16,hr30/whole-body-p0.1/assembly-guide-p0.1/assembly-status.json,a5ab1cc53c1dc2d9bb83bdc01db3ac4c0728c2a4c2e8929b981ee373827dafb6,whole-body assembly traveler status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S17,hr30/whole-body-p0.1/manufacturing-files/manufacturing-files-status.json,af1f9960038e0b60bb1e1b35b0132a9f6540e52acd5c1fc2d66e8924a40de6b1,manufacturing artifact status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S18,hr30/whole-body-p0.1/full-scale-fit-check-p0.1/fit-check-status.json,35f218c332ab3b5f5f791dcd99e7ba43b6db5c3b71d13a0f0f34381a7e96abb9,full-scale nonstructural whole-body fit-check status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S19,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/firmware-status.json,32e66bf2931c744967027d4e78e6a69da26356068390503418d0ee86d5666b82,compiled whole-body no-motion firmware status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S20,hr30/whole-body-p0.1/firmware/stm32-target-bringup-p0.1/bringup-status.json,ef0fa5cd318fa1018c73c5e91b5e2478d1022f2685afb8a6c11c492bc4566ee7,no-actuator STM32 target bring-up status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S21,hr30/whole-body-p0.1/electrical/logic-power-kit-p0.1/logic-power-status.json,de53642d214f72f2541c5465532901e85c259638b7a9c514950ea0162fbae979,logic-only controller power-kit status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S22,hr30/whole-body-p0.1/electrical/grounding-reference-architecture-p0.1/grounding-reference-status.json,1bcc83230e9075d74acd5dbdf966e5de6df2e4999a0f0dbc1dbab195dee773ba,whole-robot grounding and DC-reference candidate status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S23,hr30/whole-body-p0.1/electrical/protective-bonding-implementation-p0.1/physical-bond-status.json,36ad21577f8268f6cf9a90d65e97845281c388c89dc46a837457ed17e0bf2f92,physical protective-bonding implementation candidate status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FER-S24,hr30/whole-body-p0.1/safety-requirements-p0.1/srs-status.json,e2970eb6b6fc9fcb5bf1680e643f0a62c236aef233b2d9fc10b826a36199816d,whole-body safety requirements candidate status,"PRELIMINARY - READINESS PLAN ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
