hold_id,subject,current_state,blocking_evidence,gate_effect,warning
CIH-001,PJ302410RT received identity and dimensions,OPEN,"received label photos; calibrated outside/internal dimensions; hinge latch rib insert and usable-door survey",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-002,18P2721 received identity and fit,OPEN,"received label; calibrated panel dimensions flatness coating and enclosure fit",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-003,Enclosure support and mounting,SELECTION REQUIRED,"site structure; exact support/wall hardware; loads; anchors; installation and proof",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-004,PI5-CASE-D received identity and hardware,OPEN,"received label; envelope; bracket; every supplied screw/standoff/thread/length; assembly photos",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-005,SC1148 case assembly clarification,OPEN,"written manufacturer clarification or controlled received-article unpowered assembly proving the official Active Cooler route without invented hardware",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-006,DR4 rail and case engagement,OPEN,"exact cut; end retention; bracket offset; tool access; pull vibration and repeated removal evidence",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-007,U2D2 connector revision and supplied cable,OPEN,"received 902-0132-000 identity; Type-C confirmation; enclosed-cable end connectors length shielding markings and OD",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-008,U2D2 rigid-body retention,OPEN,"received GTM1/GT1; selected fastener/torque; compression limit; port clearance; slip pull vibration abrasion and service-life acceptance",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-009,SC1158 cable retention,OPEN,"received fixed-cable OD and bend behavior; GTM2/GT2 fit; connector-load cable-pull abrasion heat and service evidence",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-010,Pi-to-U2D2 cable selection,SELECTION REQUIRED,"exact USB-A-to-USB-C order code; length; shielding; conductor/OD; data-rate and EMC evidence; GTM3/GT3 fit",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-011,Depth and closed-cover fit,OPEN,"received stack heights; cable bend radii; connector overhang; door-device rear envelope; closed-cover and service-tool inspection",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-012,Duct fill and segregation,OPEN,"released cable/conductor schedule; ODs; bends; fill; cover fit; separation crossings; routing inspection",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-013,Grounding bonding and shield treatment,OPEN,"qualified metal-case steel-panel rail PE/DC0V/shield disposition; exact hardware torque continuity/impedance and no-damage evidence",EG-017 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-014,Compute thermal acceptance,OPEN,"installed load/current; fan current; ambient/duty; blocked-fan response; calibrated closed-enclosure temperature survey",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-015,Power-loss brownout and recovery,OPEN,"SC1158 load/startup/brownout; filesystem corruption recovery; fail-closed outputs; HIL and signed software/controls acceptance",EG-010 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CIH-016,Qualified physical and electrical review,OPEN,"signed panel layout enclosure-system grounding EMC thermal wiring service and commissioning review against received configuration",EG-003/EG-010/EG-017 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
