sheet,reference,value,quantity,status,datasheet,evidence
01_external_source_panel.kicad_sch,XAC1,FACILITY AC / PE / DISCONNECT / BRANCH PROTECTION,1,SELECTION REQUIRED,,
01_external_source_panel.kicad_sch,PS1,MEAN WELL RSP-500-12,1,EXACT PRODUCT CANDIDATE - APPLICATION OPEN,https://www.meanwell.com/Upload/PDF/RSP-500/RSP-500-SPEC.PDF,RSP-500-SPEC 2025-09-26
01_external_source_panel.kicad_sch,PS2,MEAN WELL SD-15A-24,1,PHYSICAL TERMINALS VERIFIED - APPLICATION OPEN,https://www.meanwell.com/Upload/PDF/SD-15/SD-15-SPEC.PDF,SD-15-SPEC 2024-11-22
02_estop_reset_safety_relay.kicad_sch,S0,IDEC XW DUAL-NC E-STOP FAMILY - ORDER CODE REQUIRED,1,SELECTION REQUIRED,,
02_estop_reset_safety_relay.kicad_sch,S1,IDEC HW1B-M1F11-G RESET CANDIDATE,1,SELECTION REQUIRED,,
02_estop_reset_safety_relay.kicad_sch,SR1,PILZ PNOZ s4 750104,1,TERMINALS VERIFIED - NO WHOLE-MACHINE SAFETY APPROVAL,https://www.pilz.com/download/open/OM_PNOZ_s4_21396-EN-23.pdf,"21396-EN-23, 2026-06-22"
03_redundant_dc_interruption.kicad_sch,K1,SENSATA GIGAVAC GV121CAC,1,EXACT ORDER-CODE CANDIDATE - NOT AN IEC MIRROR-CONTACT CLAIM,https://www.sensata.com/sites/default/files/a/sensata-gigavac-gv12-series-100v-contactors-datasheet.pdf,GV12 series Rev 28-Apr-2022
03_redundant_dc_interruption.kicad_sch,K2,SENSATA GIGAVAC GV121CAC,1,EXACT ORDER-CODE CANDIDATE - APPLICATION OPEN,https://www.sensata.com/sites/default/files/a/sensata-gigavac-gv12-series-100v-contactors-datasheet.pdf,GV12 series Rev 28-Apr-2022
03_redundant_dc_interruption.kicad_sch,XPERMIT,HARDWIRED PERMIT STATUS TO MOTION CONTROLLER,1,SELECTION REQUIRED,,
04_touch_safe_tether.kicad_sch,XT1A,PANEL SBS75G - SBS75GBLK,1,HOUSING/6 AWG CONTACT FAMILY VERIFIED - HARNESS OPEN,https://www.andersonpower.com/content/dam/app/ecommerce/product-pdfs/SBS75G/1s6417-SBS-Assembly-Instructions.pdf,"1S6417, accessed 2026-08-15"
04_touch_safe_tether.kicad_sch,XT1B,ROBOT SBS75G - SBS75GBLK,1,PROJECT CONTACT ASSIGNMENT - PHYSICAL VERIFICATION REQUIRED,https://www.andersonpower.com/content/dam/app/ecommerce/product-pdfs/SBS75G/1s6417-SBS-Assembly-Instructions.pdf,"1S6417, accessed 2026-08-15"
05_robot_five_branch_distribution.kicad_sch,FM0,LITTELFUSE 04980923ZXT MAIN HOLDER - FUSE VALUE REQUIRED,1,HOLDER SELECTED - FUSE VALUE SELECTION REQUIRED,https://www.littelfuse.com/assetdocs/midi-498-datasheet?assetguid=5a3ddf39-419e-44c6-91bf-270e6a6d560b,MIDI 498 datasheet 012826-A
05_robot_five_branch_distribution.kicad_sch,RB0,ROBOT RETURN / FRAME BOUNDARY,1,SELECTION REQUIRED,,
05_robot_five_branch_distribution.kicad_sch,FB1,04980923ZXT LLEG BRANCH HOLDER - FUSE VALUE REQUIRED,1,HOLDER SELECTED - NO FUSE VALUE RELEASED,https://www.littelfuse.com/assetdocs/midi-498-datasheet?assetguid=5a3ddf39-419e-44c6-91bf-270e6a6d560b,MIDI 498 datasheet 012826-A
05_robot_five_branch_distribution.kicad_sch,JLLEG,PDU-LLEG INPUT - PHOENIX 1714971,1,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,"live official page, accessed 2026-08-15"
05_robot_five_branch_distribution.kicad_sch,FB2,04980923ZXT RLEG BRANCH HOLDER - FUSE VALUE REQUIRED,1,HOLDER SELECTED - NO FUSE VALUE RELEASED,https://www.littelfuse.com/assetdocs/midi-498-datasheet?assetguid=5a3ddf39-419e-44c6-91bf-270e6a6d560b,MIDI 498 datasheet 012826-A
05_robot_five_branch_distribution.kicad_sch,JRLEG,PDU-RLEG INPUT - PHOENIX 1714971,1,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,"live official page, accessed 2026-08-15"
05_robot_five_branch_distribution.kicad_sch,FB3,04980923ZXT ARMS BRANCH HOLDER - FUSE VALUE REQUIRED,1,HOLDER SELECTED - NO FUSE VALUE RELEASED,https://www.littelfuse.com/assetdocs/midi-498-datasheet?assetguid=5a3ddf39-419e-44c6-91bf-270e6a6d560b,MIDI 498 datasheet 012826-A
05_robot_five_branch_distribution.kicad_sch,JARMS,PDU-ARMS INPUT - PHOENIX 1714971,1,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,"live official page, accessed 2026-08-15"
05_robot_five_branch_distribution.kicad_sch,FB4,04980923ZXT DISTAL BRANCH HOLDER - FUSE VALUE REQUIRED,1,HOLDER SELECTED - NO FUSE VALUE RELEASED,https://www.littelfuse.com/assetdocs/midi-498-datasheet?assetguid=5a3ddf39-419e-44c6-91bf-270e6a6d560b,MIDI 498 datasheet 012826-A
