requirement_id,function_id,phase_or_scope,requirement,verification_method,current_state,closure_evidence,approval_state,warning
SRS-001,scope,HR-V0,"All powered HR-V0 work shall remain adult-only, fixed-guarded and bench-restrained; children and bystanders shall have no access to the hazard zone.",audit,NOT EXECUTED,QUALIFIED REVIEW REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-002,SF-01,E2/E3/E4,"A dual-channel E-stop demand shall remove actuator-rail energy through two series interruption paths without relying on Linux, Raspberry Pi, watchdog firmware or motion software.",analysis_and_test,NOT EXECUTED,QUALIFIED ALLOCATION AND PHYSICAL TEST REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-003,SF-01,E4 J2 positive setup only,"From first E-stop input contact separation to the accepted stopped-motion threshold, total response shall be no more than 200 ms and residual J2 travel shall be no more than 2.000 degrees at a verified command rate no greater than 10.000 degrees per second.",timing_test,CANDIDATE LIMIT,QUALIFIED ACCEPTANCE AND PHYSICAL STATISTICAL BOUND REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-004,SF-01,E4 J2 positive setup only,"The 2.000-degree residual-travel limit shall retain a nominal 1.000-degree geometric reserve between the 115.000-degree software boundary and the 118.000-degree nominal positive metal stop before tolerance, backlash, compliance and uncertainty deductions.",analysis_and_inspection,CANDIDATE LIMIT,TOLERANCE AND PHYSICAL STOP ACCEPTANCE REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-005,SF-01,future automatic motion,"Automatic motion at 30.000 degrees per second is prohibited until the same 2.000-degree residual-travel envelope is supported by an accepted total-response bound no greater than 66.667 ms and by the released guard, stop and uncertainty evidence.",timing_test,PROHIBITED,SEPARATE QUALIFIED RELEASE REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-006,SF-01,all powered phases,"With either K1 or K2 deliberately prevented from opening by an accepted fault-injection fixture, the remaining interruption path shall reach the same phase-specific rail and motion safe-state limits.",fault_injection,NOT EXECUTED,EXACT DC CONTACT APPLICATION AND PHYSICAL TEST REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-007,SF-01,all powered phases,The accepted safe state shall include actuator-rail voltage below the received actuator's verified torque-capable threshold; that voltage threshold and dwell remain SELECTION REQUIRED.,measurement,SELECTION REQUIRED,RECEIVED ACTUATOR AND RAIL-DECAY EVIDENCE REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-008,SF-03,all phases,"E-stop release, safety-device recovery, controller reboot, heartbeat restoration and clearing a diagnostic fault shall not energize either contactor coil, enable actuator torque or command motion.",fault_injection,NOT EXECUTED,PHYSICAL/HIL TRACE SET REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-009,SF-03,all phases,"A restart sequence shall require cause removal, accepted K1/K2 feedback, one valid monitored falling-edge physical RESET, a later distinct physical ARM action and a fresh validated trajectory in that order.",sequence_test,NOT EXECUTED,QUALIFIED SEQUENCE VALIDATION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-010,SF-03,all phases,RESET and ARM shall be non-motion-producing actions; each shall leave torque authority false until all later sequence conditions are satisfied.,sequence_test,NOT EXECUTED,HARDWARE AND SOFTWARE AUTHORITY TRACES REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-011,SF-03,all phases,"A K1 or K2 mirror-contact discrepancy, invalid RESET waveform, early or held ARM input, stale trajectory or sequence-order error shall latch restart inhibition until the released recovery procedure is completed.",fault_injection,NOT EXECUTED,FAULT MATRIX AND SIGNED DISPOSITION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-012,DF-01,HR-V0,"The ordinary heartbeat watchdog shall receive zero safety credit, and PG-01 containment shall be assessed with DF-01 stuck valid and otherwise failed to demand a stop.",analysis_and_test,CONTROLLED,GUARD CONTAINMENT AND NONINTERFERENCE EVIDENCE REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRS-013,PG-01,before actuator connection,"The fixed guard, passive receiver and bench restraint shall contain every permitted arm, object, stop, rebound and power-loss outcome with the phase-specific residual-travel envelope plus build, calibration and measurement uncertainty.",inspection_and_test,NOT EXECUTED,"RELEASED GUARD CAD, FAI, IMPACT/DROP AND QUALIFIED REVIEW REQUIRED",NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
